trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_id,block_trade_id
1,333555261,2024-12-12 14:41:20,1,0.0655,0.06432118,58.52,BTC-3JAN25-100000-C,100853.35,buy,5.0,5.0,,
2,333789159,2024-12-13 15:41:19,2,0.0625,0.06288832,53.97,BTC-3JAN25-100000-C,101327.47,sell,1.1,1.1,,
3,333822117,2024-12-13 17:35:05,2,0.0615,0.06013682,55.3,BTC-3JAN25-100000-C,101096.07,buy,0.9,0.9,,
4,334253242,2024-12-16 14:45:56,0,0.0835,0.083056,56.48,BTC-3JAN25-100000-C,105411.99,buy,5.0,5.0,,
5,334400579,2024-12-17 02:44:45,0,0.086,0.08557859,54.08,BTC-3JAN25-100000-C,106372.6,buy,1.0,1.0,,
6,334674919,2024-12-18 10:51:04,2,0.0725,0.07301739,53.19,BTC-3JAN25-100000-C,104612.07,buy,1.0,1.0,,
7,334678762,2024-12-18 11:31:04,0,0.073,0.07339578,53.26,BTC-3JAN25-100000-C,104677.6,buy,1.0,1.0,,
8,334679028,2024-12-18 11:33:08,0,0.074,0.07400016,53.77,BTC-3JAN25-100000-C,104771.0,sell,1.0,1.0,,
9,334685299,2024-12-18 12:16:03,0,0.0765,0.07667079,53.09,BTC-3JAN25-100000-C,105232.73,sell,1.0,1.0,,
10,334694741,2024-12-18 13:17:04,2,0.0755,0.07599183,52.4,BTC-3JAN25-100000-C,105125.81,buy,1.0,1.0,,
11,334697511,2024-12-18 13:22:09,0,0.076,0.07617961,52.84,BTC-3JAN25-100000-C,105146.38,sell,1.0,1.0,,
12,334753849,2024-12-18 17:13:07,2,0.0685,0.06860803,51.56,BTC-3JAN25-100000-C,104216.19,buy,1.0,1.0,,
13,334754873,2024-12-18 17:20:20,0,0.0695,0.06937379,52.01,BTC-3JAN25-100000-C,104338.23,sell,1.0,1.0,,
14,334754947,2024-12-18 17:21:04,2,0.069,0.06919685,51.67,BTC-3JAN25-100000-C,104331.67,buy,1.0,1.0,,
15,334755392,2024-12-18 17:23:19,0,0.0695,0.06950258,51.91,BTC-3JAN25-100000-C,104349.2,sell,1.0,1.0,,
16,334765861,2024-12-18 18:31:04,0,0.0715,0.07196502,51.78,BTC-3JAN25-100000-C,104688.62,buy,1.0,1.0,,
