trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,block_trade_id
1,339320805,2025-01-08 09:16:13,1,0.0235,0.02237194,48.96,BTC-11JAN25-95000-C,95980.61,buy,0.1,0.1,,,
2,339321061,2025-01-08 09:19:36,1,0.0235,0.02326388,48.43,BTC-11JAN25-95000-C,96008.77,sell,0.1,0.1,,,
3,339321063,2025-01-08 09:19:39,1,0.0235,0.02331621,48.39,BTC-11JAN25-95000-C,96006.77,sell,0.1,0.1,,,
4,339321066,2025-01-08 09:19:42,1,0.0235,0.02337515,48.41,BTC-11JAN25-95000-C,96007.34,sell,0.1,0.1,,,
5,339321069,2025-01-08 09:19:45,1,0.0235,0.02341535,48.4,BTC-11JAN25-95000-C,96008.24,sell,0.1,0.1,,,
6,339322950,2025-01-08 09:39:23,2,0.022,0.02198621,49.18,BTC-11JAN25-95000-C,95695.34,buy,0.1,0.1,,,
7,339325871,2025-01-08 10:00:58,2,0.0205,0.02047647,49.39,BTC-11JAN25-95000-C,95424.44,buy,0.1,0.1,,,
8,339344716,2025-01-08 11:40:57,2,0.017,0.0166632,53.77,BTC-11JAN25-95000-C,94520.84,buy,0.7,0.7,,,
9,339355467,2025-01-08 12:36:51,0,0.0195,0.01962768,54.31,BTC-11JAN25-95000-C,95004.31,buy,2.0,2.0,,,
10,339362862,2025-01-08 13:12:23,0,0.0205,0.02064435,54.28,BTC-11JAN25-95000-C,95204.25,buy,0.1,0.1,,,
11,339373238,2025-01-08 14:30:41,2,0.02,0.02013928,52.43,BTC-11JAN25-95000-C,95263.64,buy,0.1,0.1,,,
12,339373325,2025-01-08 14:30:57,3,0.02,0.02036419,51.45,BTC-11JAN25-95000-C,95288.55,sell,0.4,0.4,,,
13,339373326,2025-01-08 14:30:57,3,0.02,0.02036419,51.45,BTC-11JAN25-95000-C,95288.55,sell,0.1,0.1,,,
14,339381187,2025-01-08 14:53:32,2,0.018,0.01864002,49.85,BTC-11JAN25-95000-C,95045.8,sell,1.0,1.0,,,
15,339381435,2025-01-08 14:54:57,3,0.018,0.018675,49.84,BTC-11JAN25-95000-C,95051.87,sell,4.8,4.8,,,
16,339381436,2025-01-08 14:54:57,3,0.018,0.018675,49.84,BTC-11JAN25-95000-C,95051.87,sell,15.2,15.2,,,
17,339402569,2025-01-08 16:35:04,2,0.016,0.01613217,46.92,BTC-11JAN25-95000-C,94895.79,sell,0.5,0.5,,,
18,339403067,2025-01-08 16:37:55,0,0.017,0.01710196,46.96,BTC-11JAN25-95000-C,95087.5,sell,0.1,0.1,,,
19,339403276,2025-01-08 16:39:16,2,0.0165,0.01664364,46.56,BTC-11JAN25-95000-C,95012.15,sell,0.1,0.1,,,
20,339406282,2025-01-08 16:56:36,2,0.0145,0.01447552,47.65,BTC-11JAN25-95000-C,94583.02,buy,0.7,0.7,,,
21,339411320,2025-01-08 17:06:53,2,0.013,0.01325382,47.31,BTC-11JAN25-95000-C,94303.72,sell,1.6,1.6,,,
22,339415920,2025-01-08 17:12:15,2,0.012,0.01201764,47.65,BTC-11JAN25-95000-C,93998.95,buy,1.3,1.3,,,
23,339415952,2025-01-08 17:12:23,3,0.012,0.0119744,47.65,BTC-11JAN25-95000-C,94005.04,buy,0.1,0.1,,,
24,339415953,2025-01-08 17:12:23,3,0.012,0.0119744,47.65,BTC-11JAN25-95000-C,94005.04,buy,1.1,1.1,,,
25,339415955,2025-01-08 17:12:23,3,0.012,0.0119744,47.65,BTC-11JAN25-95000-C,94005.04,buy,0.3,0.3,,,
26,339415956,2025-01-08 17:12:24,3,0.012,0.01198975,47.65,BTC-11JAN25-95000-C,94018.26,buy,0.2,0.2,,,
27,339415957,2025-01-08 17:12:24,3,0.012,0.01198975,47.65,BTC-11JAN25-95000-C,94018.26,buy,0.1,0.1,,,
28,339415980,2025-01-08 17:12:34,3,0.012,0.01204524,47.66,BTC-11JAN25-95000-C,94019.58,buy,1.2,1.2,,,
29,339415981,2025-01-08 17:12:34,3,0.012,0.01204524,47.66,BTC-11JAN25-95000-C,94019.58,buy,0.6,0.6,,,
30,339415982,2025-01-08 17:12:34,3,0.012,0.01204524,47.66,BTC-11JAN25-95000-C,94019.58,buy,0.1,0.1,,,
31,339417817,2025-01-08 17:17:43,2,0.0115,0.01125772,48.39,BTC-11JAN25-95000-C,93802.23,sell,0.2,0.2,,,
32,339417829,2025-01-08 17:17:43,3,0.0115,0.01125772,48.39,BTC-11JAN25-95000-C,93802.23,sell,0.2,0.2,,,
33,339417861,2025-01-08 17:17:44,3,0.0115,0.01125772,48.39,BTC-11JAN25-95000-C,93802.23,sell,0.2,0.2,,,
34,339426251,2025-01-08 17:29:15,2,0.0085,0.00856007,49.43,BTC-11JAN25-95000-C,92995.16,buy,0.1,0.1,,,
35,339428178,2025-01-08 17:31:05,2,0.008,0.00785388,50.58,BTC-11JAN25-95000-C,92722.61,buy,0.1,0.1,,,
36,339436705,2025-01-08 17:46:39,0,0.0115,0.01175581,51.1,BTC-11JAN25-95000-C,93773.72,buy,0.2,0.2,,,
37,339437929,2025-01-08 17:49:32,2,0.011,0.01110585,50.48,BTC-11JAN25-95000-C,93605.73,sell,0.1,0.1,,,
38,339440295,2025-01-08 17:57:20,0,0.0125,0.01221459,51.54,BTC-11JAN25-95000-C,93910.14,buy,0.1,0.1,,,
39,339448769,2025-01-08 18:18:27,0,0.0145,0.01473045,49.3,BTC-11JAN25-95000-C,94503.27,buy,0.4,0.4,,,
40,339453537,2025-01-08 18:29:11,0,0.017,0.0170415,50.15,BTC-11JAN25-95000-C,94956.69,sell,1.0,1.0,,,
41,339454279,2025-01-08 18:31:06,2,0.016,0.01630575,49.09,BTC-11JAN25-95000-C,94781.25,sell,1.0,1.0,,,
42,339454346,2025-01-08 18:31:10,3,0.016,0.01613688,49.09,BTC-11JAN25-95000-C,94758.07,sell,0.2,0.2,,,
43,339454349,2025-01-08 18:31:10,3,0.016,0.01613688,49.09,BTC-11JAN25-95000-C,94758.07,sell,0.2,0.2,,,
44,339454352,2025-01-08 18:31:10,3,0.016,0.01613688,49.09,BTC-11JAN25-95000-C,94758.07,sell,0.5,0.5,,,
45,339454365,2025-01-08 18:31:11,3,0.016,0.01613688,49.09,BTC-11JAN25-95000-C,94758.07,sell,0.7,0.7,,,
46,339454751,2025-01-08 18:32:03,2,0.0155,0.01576515,49.42,BTC-11JAN25-95000-C,94681.95,sell,1.0,1.0,,,
47,339454765,2025-01-08 18:32:06,3,0.0155,0.01559931,49.42,BTC-11JAN25-95000-C,94657.06,sell,0.6,0.6,,,
48,339454766,2025-01-08 18:32:07,3,0.0155,0.01558313,49.42,BTC-11JAN25-95000-C,94648.38,sell,0.1,0.1,,,
