trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_id,block_trade_id,combo_trade_id
1,337043923,2024-12-26 11:47:08,1,0.033,0.03280997,57.85,BTC-17JAN25-102000-C,95553.12,buy,0.2,0.2,,,
2,337097014,2024-12-26 15:42:52,1,0.033,0.03318616,57.29,BTC-17JAN25-102000-C,95846.82,buy,0.1,0.1,,,
3,337192529,2024-12-26 21:15:59,2,0.031,0.03083487,57.65,BTC-17JAN25-102000-C,95248.37,sell,0.2,0.2,,,
4,337215657,2024-12-26 23:21:36,0,0.032,0.03192864,57.53,BTC-17JAN25-102000-C,95638.93,buy,0.1,0.1,,,
5,337247509,2024-12-27 01:49:11,1,0.032,0.03241155,56.76,BTC-17JAN25-102000-C,95857.76,sell,0.1,0.1,,,
6,337273902,2024-12-27 03:22:48,0,0.034,0.03363905,57.56,BTC-17JAN25-102000-C,96204.61,buy,0.9,0.9,,,
7,337273926,2024-12-27 03:22:48,1,0.034,0.03363456,57.56,BTC-17JAN25-102000-C,96205.01,sell,1.4,1.4,,,
8,337273999,2024-12-27 03:23:15,0,0.0345,0.03376874,58.09,BTC-17JAN25-102000-C,96208.53,buy,1.3,1.3,,,
9,337365639,2024-12-27 08:00:53,2,0.0305,0.03130825,57.63,BTC-17JAN25-102000-C,95206.43,sell,0.2,0.2,,,
10,337368753,2024-12-27 08:04:04,0,0.0315,0.03163648,58.25,BTC-17JAN25-102000-C,95323.84,buy,0.3,0.3,,,
11,337369794,2024-12-27 08:05:11,0,0.032,0.03187074,58.59,BTC-17JAN25-102000-C,95392.4,sell,0.1,0.1,,,
12,337376228,2024-12-27 08:12:59,0,0.033,0.03320983,58.03,BTC-17JAN25-102000-C,95819.74,sell,0.1,0.1,,,
13,337473247,2024-12-27 15:03:20,2,0.029,0.02918296,56.19,BTC-17JAN25-102000-C,95324.29,buy,0.3,0.3,,,
14,337475314,2024-12-27 15:11:46,3,0.029,0.02886373,56.56,BTC-17JAN25-102000-C,95255.5,buy,0.1,0.1,,,
15,337478735,2024-12-27 15:19:03,2,0.027,0.02704967,56.4,BTC-17JAN25-102000-C,94661.46,sell,0.3,0.3,,,
16,337540662,2024-12-27 20:37:26,2,0.0265,0.02654585,56.98,BTC-17JAN25-102000-C,94498.93,buy,0.1,0.1,,,
17,337627939,2024-12-28 22:48:40,2,0.026,0.02669633,55.85,BTC-17JAN25-102000-C,95067.02,sell,0.1,0.1,,,
18,337648479,2024-12-29 08:01:48,0,0.0262,0.02629029,56.73,BTC-17JAN25-102000-C,95060.16,sell,200.0,200.0,,175198,
19,337653568,2024-12-29 11:14:27,2,0.0255,0.02543063,56.44,BTC-17JAN25-102000-C,94949.8,buy,0.1,0.1,,,
20,337672389,2024-12-29 16:16:58,2,0.0225,0.02266708,56.69,BTC-17JAN25-102000-C,93991.31,buy,1.0,1.0,BTC-CS-17JAN25-98000_102000,,337672388
21,337698582,2024-12-29 22:11:07,2,0.02,0.02032129,56.84,BTC-17JAN25-102000-C,93134.59,sell,0.1,0.1,,,
22,337752354,2024-12-30 08:04:25,0,0.0205,0.02098042,56.29,BTC-17JAN25-102000-C,93620.14,sell,3.0,3.0,,,
23,337788545,2024-12-30 14:27:01,2,0.018,0.01810575,56.67,BTC-17JAN25-102000-C,92736.58,buy,0.1,0.1,,,
24,337848417,2024-12-30 17:50:16,0,0.021,0.02101477,57.21,BTC-17JAN25-102000-C,93808.95,buy,0.1,0.1,,,
25,337946169,2024-12-31 02:31:01,2,0.017,0.01725406,56.69,BTC-17JAN25-102000-C,92484.9,buy,0.1,0.1,,,
26,337947510,2024-12-31 03:00:07,2,0.0165,0.01682419,56.66,BTC-17JAN25-102000-C,92305.38,buy,0.1,0.1,,,
27,337948304,2024-12-31 03:12:19,2,0.016,0.01632822,56.41,BTC-17JAN25-102000-C,92179.92,sell,0.2,0.2,,,
28,337973045,2024-12-31 08:17:02,0,0.0175,0.01769927,56.42,BTC-17JAN25-102000-C,92893.35,sell,0.1,0.1,,,
29,337973149,2024-12-31 08:17:10,1,0.0175,0.0178807,56.2,BTC-17JAN25-102000-C,92951.01,sell,0.1,0.1,,,
30,337974876,2024-12-31 08:21:58,0,0.0185,0.0185708,56.61,BTC-17JAN25-102000-C,93200.24,buy,0.1,0.1,,,
31,337977867,2024-12-31 08:27:51,0,0.02,0.02026499,56.39,BTC-17JAN25-102000-C,93789.34,sell,0.1,0.1,,,
32,337978177,2024-12-31 08:28:49,1,0.02,0.02027594,56.42,BTC-17JAN25-102000-C,93786.7,sell,0.1,0.1,,,
33,337990787,2024-12-31 09:13:34,0,0.0205,0.02043635,56.95,BTC-17JAN25-102000-C,93870.53,buy,0.1,0.1,,,
34,338008023,2024-12-31 12:24:28,0,0.022,0.02212813,56.69,BTC-17JAN25-102000-C,94498.22,buy,1.5,1.5,,,
35,338008841,2024-12-31 12:30:43,0,0.0225,0.02248561,56.79,BTC-17JAN25-102000-C,94653.16,buy,1.5,1.5,,,
36,338008842,2024-12-31 12:30:43,1,0.0225,0.02248561,56.79,BTC-17JAN25-102000-C,94653.16,buy,2.7,2.7,,,
37,338014061,2024-12-31 13:10:28,0,0.023,0.02311007,56.96,BTC-17JAN25-102000-C,94785.88,buy,1.5,1.5,,,
38,338014297,2024-12-31 13:11:50,0,0.0235,0.02320729,57.45,BTC-17JAN25-102000-C,94822.89,buy,1.5,1.5,,,
39,338100482,2024-12-31 20:48:43,2,0.019,0.01896519,56.85,BTC-17JAN25-102000-C,93546.09,buy,0.3,0.3,,,
40,338100553,2024-12-31 20:49:34,3,0.019,0.01910355,56.62,BTC-17JAN25-102000-C,93587.43,buy,0.5,0.5,,,
41,338119595,2025-01-01 01:21:43,0,0.0195,0.01900276,56.96,BTC-17JAN25-102000-C,93799.04,buy,0.1,0.1,,,
42,338166498,2025-01-01 16:54:44,2,0.0175,0.01776293,55.06,BTC-17JAN25-102000-C,93757.29,buy,0.1,0.1,,,
43,338166617,2025-01-01 16:59:50,3,0.0175,0.01795169,54.68,BTC-17JAN25-102000-C,93863.78,sell,0.1,0.1,,,
44,338166619,2025-01-01 16:59:56,3,0.0175,0.01794968,54.67,BTC-17JAN25-102000-C,93863.5,sell,0.1,0.1,,,
45,338166621,2025-01-01 17:00:03,3,0.0175,0.01793892,54.69,BTC-17JAN25-102000-C,93861.07,sell,0.1,0.1,,,
46,338166642,2025-01-01 17:00:12,3,0.0175,0.01793608,54.71,BTC-17JAN25-102000-C,93860.79,sell,0.1,0.1,,,
47,338166695,2025-01-01 17:01:13,3,0.0175,0.01796532,54.54,BTC-17JAN25-102000-C,93863.54,sell,0.1,0.1,,,
48,338166715,2025-01-01 17:02:13,3,0.0175,0.01785074,54.82,BTC-17JAN25-102000-C,93838.15,sell,0.1,0.1,,,
49,338166716,2025-01-01 17:02:20,3,0.0175,0.01785425,54.81,BTC-17JAN25-102000-C,93839.03,sell,0.1,0.1,,,
50,338166726,2025-01-01 17:02:27,3,0.0175,0.01784796,54.82,BTC-17JAN25-102000-C,93833.32,sell,0.1,0.1,,,
51,338166727,2025-01-01 17:02:31,3,0.0175,0.01782784,54.85,BTC-17JAN25-102000-C,93831.3,sell,0.1,0.1,,,
52,338171167,2025-01-01 18:54:56,0,0.0185,0.01804648,55.76,BTC-17JAN25-102000-C,94008.94,buy,0.1,0.1,,,
53,338175494,2025-01-01 19:49:29,0,0.02,0.01992316,55.52,BTC-17JAN25-102000-C,94589.03,buy,1.5,1.5,,,
54,338182800,2025-01-01 21:23:34,0,0.021,0.02119584,55.97,BTC-17JAN25-102000-C,94822.3,buy,1.5,1.5,,,
55,338201208,2025-01-02 00:45:11,0,0.0215,0.02207635,56.7,BTC-17JAN25-102000-C,94885.12,sell,0.1,0.1,,,
56,338212414,2025-01-02 02:12:39,0,0.0225,0.02207896,58.38,BTC-17JAN25-102000-C,94874.49,buy,0.1,0.1,,,
57,338242761,2025-01-02 08:09:40,0,0.0245,0.02408786,57.82,BTC-17JAN25-102000-C,95725.22,buy,0.1,0.1,,,
58,338250792,2025-01-02 09:05:41,0,0.025,0.02495747,57.11,BTC-17JAN25-102000-C,96058.78,buy,0.1,0.1,,,
59,338250839,2025-01-02 09:05:58,1,0.025,0.02486707,57.23,BTC-17JAN25-102000-C,96029.48,buy,0.1,0.1,,,
60,338250859,2025-01-02 09:06:19,1,0.025,0.02488528,57.21,BTC-17JAN25-102000-C,96033.84,buy,0.1,0.1,,,
61,338251645,2025-01-02 09:16:50,1,0.025,0.02507055,56.93,BTC-17JAN25-102000-C,96095.08,buy,0.2,0.2,,,
62,338281841,2025-01-02 13:09:14,0,0.0285,0.02813649,58.7,BTC-17JAN25-102000-C,96751.08,buy,0.1,0.1,,,
63,338305220,2025-01-02 14:56:15,0,0.0295,0.02915222,58.33,BTC-17JAN25-102000-C,97146.55,buy,0.1,0.1,,,
64,338385119,2025-01-02 23:08:32,2,0.0255,0.02520285,55.88,BTC-17JAN25-102000-C,96758.34,buy,0.9,0.9,,,
65,338385123,2025-01-02 23:08:32,3,0.0255,0.02520285,55.88,BTC-17JAN25-102000-C,96758.34,sell,0.1,0.1,,,
66,338393378,2025-01-03 02:13:13,2,0.025,0.02520172,54.33,BTC-17JAN25-102000-C,96971.76,buy,0.1,0.1,,,
67,338399674,2025-01-03 03:57:52,2,0.0245,0.02496326,53.99,BTC-17JAN25-102000-C,96960.05,sell,0.1,0.1,,,
68,338427540,2025-01-03 08:04:41,2,0.022,0.02247167,53.89,BTC-17JAN25-102000-C,96302.74,sell,0.1,0.1,,,
69,338428370,2025-01-03 08:07:44,3,0.022,0.02252081,53.74,BTC-17JAN25-102000-C,96323.21,sell,0.1,0.1,,,
