trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount
1,335906841,2024-12-21 09:20:52,1,0.0095,0.00982427,44.58,BTC-24DEC24-100000-C,98318.52,buy,0.1,0.1
2,335910587,2024-12-21 10:15:45,0,0.01,0.01038635,43.39,BTC-24DEC24-100000-C,98612.31,sell,0.1,0.1
3,335912347,2024-12-21 10:35:47,2,0.009,0.0090463,43.81,BTC-24DEC24-100000-C,98306.85,buy,0.4,0.4
4,335913236,2024-12-21 10:41:35,2,0.0085,0.00868989,43.74,BTC-24DEC24-100000-C,98188.33,sell,0.1,0.1
5,335913541,2024-12-21 10:46:11,2,0.008,0.00860272,42.31,BTC-24DEC24-100000-C,98141.43,sell,0.1,0.1
6,335914236,2024-12-21 10:55:50,2,0.0075,0.00806864,42.16,BTC-24DEC24-100000-C,98024.38,sell,0.1,0.1
7,335914829,2024-12-21 11:07:59,0,0.008,0.00833659,42.55,BTC-24DEC24-100000-C,98135.64,sell,0.1,0.1
8,335915527,2024-12-21 11:24:31,2,0.0075,0.007653,42.84,BTC-24DEC24-100000-C,97974.53,sell,0.1,0.1
9,335915752,2024-12-21 11:25:37,2,0.007,0.00727542,42.39,BTC-24DEC24-100000-C,97847.03,sell,0.1,0.1
10,335915775,2024-12-21 11:25:47,3,0.007,0.00719888,42.7,BTC-24DEC24-100000-C,97827.13,sell,0.1,0.1
11,335918597,2024-12-21 12:00:46,0,0.008,0.00833981,42.04,BTC-24DEC24-100000-C,98229.99,sell,5.3,5.3
12,335919302,2024-12-21 12:08:31,2,0.007,0.00739243,41.59,BTC-24DEC24-100000-C,97951.04,sell,0.1,0.1
13,335919723,2024-12-21 12:09:07,3,0.007,0.00704807,42.93,BTC-24DEC24-100000-C,97839.33,buy,0.1,0.1
14,335920153,2024-12-21 12:11:23,2,0.0065,0.00660534,42.63,BTC-24DEC24-100000-C,97696.37,buy,0.1,0.1
15,335925357,2024-12-21 12:51:20,2,0.006,0.00605653,43.73,BTC-24DEC24-100000-C,97435.6,sell,0.1,0.1
16,335926852,2024-12-21 12:57:29,2,0.005,0.00532415,42.73,BTC-24DEC24-100000-C,97118.96,sell,0.1,0.1
17,335930485,2024-12-21 13:22:21,2,0.0048,0.00500579,43.57,BTC-24DEC24-100000-C,96942.59,buy,0.1,0.1
18,335930791,2024-12-21 13:22:57,2,0.0047,0.00472747,44.39,BTC-24DEC24-100000-C,96818.68,sell,0.1,0.1
19,335931004,2024-12-21 13:23:08,2,0.0045,0.00470414,43.85,BTC-24DEC24-100000-C,96816.95,sell,0.1,0.1
20,335931064,2024-12-21 13:23:23,2,0.0044,0.0046082,43.66,BTC-24DEC24-100000-C,96763.98,sell,0.1,0.1
21,335953643,2024-12-21 16:41:55,0,0.0055,0.00570222,44.71,BTC-24DEC24-100000-C,97275.39,buy,0.5,0.5
22,335953644,2024-12-21 16:41:55,1,0.0055,0.00570222,44.71,BTC-24DEC24-100000-C,97275.39,buy,0.5,0.5
23,335956942,2024-12-21 17:16:02,0,0.006,0.00629464,44.11,BTC-24DEC24-100000-C,97555.24,sell,0.4,0.4
24,335956971,2024-12-21 17:16:03,1,0.006,0.00630089,44.11,BTC-24DEC24-100000-C,97563.05,sell,0.6,0.6
25,335956972,2024-12-21 17:16:03,1,0.006,0.00630089,44.11,BTC-24DEC24-100000-C,97563.05,sell,0.1,0.1
26,335959213,2024-12-21 17:51:22,1,0.006,0.00624886,43.44,BTC-24DEC24-100000-C,97638.22,sell,0.1,0.1
27,335991355,2024-12-21 23:27:47,2,0.0046,0.00440904,45.58,BTC-24DEC24-100000-C,97073.54,buy,1.3,1.3
28,335998852,2024-12-22 00:49:38,2,0.0043,0.00451685,44.52,BTC-24DEC24-100000-C,97107.67,sell,6.0,6.0
29,335999259,2024-12-22 00:52:36,2,0.0041,0.0045075,43.56,BTC-24DEC24-100000-C,97119.49,sell,0.4,0.4
30,335999260,2024-12-22 00:52:37,3,0.0041,0.00450746,43.56,BTC-24DEC24-100000-C,97115.94,sell,0.1,0.1
31,335999261,2024-12-22 00:52:37,3,0.0041,0.00450746,43.56,BTC-24DEC24-100000-C,97115.94,sell,0.5,0.5
32,336000614,2024-12-22 01:21:16,0,0.0046,0.00463917,44.8,BTC-24DEC24-100000-C,97272.1,sell,0.5,0.5
33,336005253,2024-12-22 02:05:51,2,0.0037,0.00384565,44.74,BTC-24DEC24-100000-C,96858.77,sell,0.1,0.1
34,336005660,2024-12-22 02:11:36,0,0.004,0.00421763,44.47,BTC-24DEC24-100000-C,97022.19,sell,0.1,0.1
35,336005743,2024-12-22 02:14:42,0,0.0041,0.0042343,45.05,BTC-24DEC24-100000-C,97030.18,buy,0.1,0.1
36,336030112,2024-12-22 06:00:08,2,0.0029,0.00286464,49.18,BTC-24DEC24-100000-C,96112.44,sell,0.1,0.1
37,336035895,2024-12-22 07:11:23,0,0.003,0.00324449,44.59,BTC-24DEC24-100000-C,96749.99,buy,2.5,2.5
38,336037021,2024-12-22 07:28:28,2,0.0026,0.00272051,45.31,BTC-24DEC24-100000-C,96451.26,sell,0.1,0.1
39,336037123,2024-12-22 07:31:57,0,0.0027,0.00279301,45.5,BTC-24DEC24-100000-C,96497.13,sell,0.2,0.2
40,336040643,2024-12-22 07:45:50,2,0.002,0.00234894,44.58,BTC-24DEC24-100000-C,96136.36,sell,0.3,0.3
41,336040644,2024-12-22 07:45:51,3,0.002,0.00235112,44.58,BTC-24DEC24-100000-C,96135.99,sell,0.2,0.2
42,336041072,2024-12-22 07:47:32,0,0.0024,0.00246508,46.8,BTC-24DEC24-100000-C,96175.55,sell,0.1,0.1
43,336041269,2024-12-22 07:48:34,0,0.0025,0.00256386,47.02,BTC-24DEC24-100000-C,96212.52,buy,0.1,0.1
44,336041309,2024-12-22 07:48:56,1,0.0025,0.00256055,46.99,BTC-24DEC24-100000-C,96214.01,buy,0.2,0.2
45,336041318,2024-12-22 07:48:58,1,0.0025,0.0025625,46.99,BTC-24DEC24-100000-C,96214.78,buy,0.1,0.1
46,336041464,2024-12-22 07:49:09,1,0.0025,0.0025358,47.12,BTC-24DEC24-100000-C,96197.38,buy,0.3,0.3
47,336041990,2024-12-22 07:50:44,2,0.0022,0.00231796,46.39,BTC-24DEC24-100000-C,96075.13,buy,0.1,0.1
48,336042011,2024-12-22 07:50:51,0,0.0024,0.00229754,47.77,BTC-24DEC24-100000-C,96067.03,buy,0.1,0.1
49,336042124,2024-12-22 07:51:46,1,0.0024,0.00231383,47.74,BTC-24DEC24-100000-C,96064.35,buy,0.2,0.2
50,336042251,2024-12-22 07:52:54,0,0.0025,0.00232886,48.3,BTC-24DEC24-100000-C,96070.97,buy,1.8,1.8
51,336042252,2024-12-22 07:52:54,1,0.0025,0.00232886,48.3,BTC-24DEC24-100000-C,96070.97,buy,1.5,1.5
52,336042253,2024-12-22 07:52:54,1,0.0025,0.00232886,48.3,BTC-24DEC24-100000-C,96070.97,buy,1.2,1.2
53,336042403,2024-12-22 07:53:53,0,0.0026,0.00233111,48.93,BTC-24DEC24-100000-C,96070.63,buy,2.9,2.9
54,336042666,2024-12-22 07:54:48,2,0.0025,0.00228685,48.7,BTC-24DEC24-100000-C,96031.27,buy,1.0,1.0
55,336042789,2024-12-22 07:55:42,0,0.0026,0.0023264,49.12,BTC-24DEC24-100000-C,96053.6,buy,3.6,3.6
56,336042914,2024-12-22 07:56:36,0,0.0027,0.00234528,49.73,BTC-24DEC24-100000-C,96068.04,buy,2.2,2.2
57,336043363,2024-12-22 07:57:34,2,0.0026,0.00233702,49.43,BTC-24DEC24-100000-C,96020.82,buy,1.0,1.0
58,336043570,2024-12-22 07:58:28,0,0.0028,0.00242468,50.29,BTC-24DEC24-100000-C,96055.3,buy,3.0,3.0
