trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount
1,335899355,2024-12-21 08:08:20,1,0.025,0.02349941,52.1,BTC-24DEC24-100000-P,98731.82,buy,1.0,1.0
2,335900311,2024-12-21 08:14:43,2,0.023,0.0220985,49.92,BTC-24DEC24-100000-P,98973.13,buy,10.0,10.0
3,335900454,2024-12-21 08:16:16,0,0.0235,0.0224274,50.72,BTC-24DEC24-100000-P,98916.94,buy,0.2,0.2
4,335900455,2024-12-21 08:16:16,0,0.024,0.0224274,52.12,BTC-24DEC24-100000-P,98916.94,buy,1.8,1.8
5,335900498,2024-12-21 08:17:00,1,0.024,0.02235698,52.34,BTC-24DEC24-100000-P,98929.14,buy,0.1,0.1
6,335900849,2024-12-21 08:19:17,0,0.0255,0.02364733,53.02,BTC-24DEC24-100000-P,98727.04,buy,3.0,3.0
7,335970962,2024-12-21 20:12:06,0,0.0285,0.0286873,44.1,BTC-24DEC24-100000-P,97705.46,buy,0.1,0.1
8,335998679,2024-12-22 00:47:38,0,0.0325,0.03214886,47.02,BTC-24DEC24-100000-P,97225.97,buy,0.2,0.2
9,335998680,2024-12-22 00:47:38,1,0.0325,0.03214886,47.02,BTC-24DEC24-100000-P,97225.97,buy,0.1,0.1
10,335998689,2024-12-22 00:47:47,1,0.0325,0.03236646,46.09,BTC-24DEC24-100000-P,97212.05,buy,0.2,0.2
11,335998691,2024-12-22 00:47:47,1,0.0325,0.03236646,46.09,BTC-24DEC24-100000-P,97212.05,buy,0.1,0.1
12,335998696,2024-12-22 00:47:47,1,0.0325,0.03236646,46.09,BTC-24DEC24-100000-P,97212.05,buy,0.2,0.2
13,335998697,2024-12-22 00:47:47,1,0.0325,0.03236646,46.09,BTC-24DEC24-100000-P,97212.05,buy,0.1,0.1
