trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_id,combo_trade_id,combo_id,liquidation
1,306659718,2024-06-27 09:02:49,1,0.199,0.203155,66.25,BTC-27JUN25-80000-C,60783.29,sell,1.0,1.0,,,,
2,306677629,2024-06-27 12:25:56,2,0.196,0.1982797,64.65,BTC-27JUN25-80000-C,61323.93,buy,1.0,1.0,,,,
3,306677897,2024-06-27 12:27:57,3,0.196,0.19862647,64.63,BTC-27JUN25-80000-C,61332.67,buy,1.0,1.0,,,,
4,306678021,2024-06-27 12:28:56,3,0.196,0.19878098,64.61,BTC-27JUN25-80000-C,61347.39,buy,1.0,1.0,,,,
5,306678438,2024-06-27 12:30:03,3,0.196,0.19893112,64.56,BTC-27JUN25-80000-C,61410.65,buy,1.0,1.0,,,,
6,306681894,2024-06-27 12:40:57,0,0.197,0.19608863,65.02,BTC-27JUN25-80000-C,61208.67,sell,3.0,3.0,,,,
7,306682581,2024-06-27 12:50:55,1,0.197,0.19668148,65.13,BTC-27JUN25-80000-C,61132.53,buy,0.1,0.1,,,,
8,306684986,2024-06-27 13:07:16,0,0.198,0.19822513,64.77,BTC-27JUN25-80000-C,61521.28,buy,0.1,0.1,,,,
9,306689160,2024-06-27 13:25:47,0,0.199,0.19707394,64.75,BTC-27JUN25-80000-C,61717.2,buy,0.1,0.1,,,,
10,306694745,2024-06-27 14:01:06,0,0.2,0.19944549,64.58,BTC-27JUN25-80000-C,62022.68,buy,0.1,0.1,,,,
11,306694802,2024-06-27 14:01:17,1,0.2,0.19952746,64.55,BTC-27JUN25-80000-C,62042.48,buy,0.1,0.1,,,,
12,306699842,2024-06-27 14:21:38,1,0.2,0.19883037,64.34,BTC-27JUN25-80000-C,62227.51,buy,0.8,0.8,,,,
13,306699843,2024-06-27 14:21:38,1,0.2,0.19883037,64.34,BTC-27JUN25-80000-C,62227.51,buy,1.0,1.0,,,,
14,306699897,2024-06-27 14:22:09,0,0.2005,0.19881758,64.47,BTC-27JUN25-80000-C,62216.75,buy,1.0,1.0,,,,
15,306699964,2024-06-27 14:23:37,0,0.201,0.19894268,64.56,BTC-27JUN25-80000-C,62248.61,buy,1.0,1.0,,,,
16,306721645,2024-06-27 19:01:06,2,0.1995,0.19958533,64.86,BTC-27JUN25-80000-C,61771.5,sell,0.2,0.2,,,,
17,306730969,2024-06-27 21:21:33,2,0.198,0.19888541,64.9,BTC-27JUN25-80000-C,61446.5,sell,0.1,0.1,,,,
18,306741135,2024-06-28 01:16:13,0,0.2,0.19711891,65.4,BTC-27JUN25-80000-C,61600.56,buy,0.1,0.1,,,,
19,306745990,2024-06-28 01:39:05,0,0.203,0.19973097,65.51,BTC-27JUN25-80000-C,62051.24,buy,0.1,0.1,,,,
20,306746016,2024-06-28 01:39:08,1,0.203,0.19980504,65.47,BTC-27JUN25-80000-C,62065.45,buy,0.9,0.9,,,,
21,306753398,2024-06-28 02:57:37,2,0.2,0.19909116,65.28,BTC-27JUN25-80000-C,61660.82,buy,5.0,5.0,,,,
22,306753827,2024-06-28 03:08:35,3,0.2,0.1978381,65.26,BTC-27JUN25-80000-C,61688.3,buy,0.1,0.1,,,,
23,306753836,2024-06-28 03:08:40,3,0.2,0.19778994,65.27,BTC-27JUN25-80000-C,61681.36,buy,0.1,0.1,,,,
24,306753838,2024-06-28 03:08:44,3,0.2,0.19777602,65.27,BTC-27JUN25-80000-C,61680.27,buy,0.1,0.1,,,,
25,306753848,2024-06-28 03:08:47,3,0.2,0.19776209,65.27,BTC-27JUN25-80000-C,61679.64,buy,0.1,0.1,,,,
26,306753854,2024-06-28 03:09:43,3,0.2,0.19770293,65.26,BTC-27JUN25-80000-C,61687.22,buy,1.0,1.0,,,,
27,306753855,2024-06-28 03:09:49,3,0.2,0.1976933,65.26,BTC-27JUN25-80000-C,61685.82,buy,1.0,1.0,,,,
28,306753856,2024-06-28 03:09:53,3,0.2,0.19771787,65.26,BTC-27JUN25-80000-C,61688.68,buy,1.0,1.0,,,,
29,306753857,2024-06-28 03:09:56,3,0.2,0.19771526,65.25,BTC-27JUN25-80000-C,61689.06,buy,1.0,1.0,,,,
30,306845895,2024-06-28 15:54:52,2,0.195,0.19414159,65.43,BTC-27JUN25-80000-C,60912.51,buy,0.5,0.5,,,,
31,306845896,2024-06-28 15:54:52,3,0.195,0.19414159,65.43,BTC-27JUN25-80000-C,60912.51,buy,2.0,2.0,,,,
32,306857129,2024-06-28 17:55:14,3,0.195,0.19363685,65.67,BTC-27JUN25-80000-C,60667.95,sell,0.1,0.1,,,,
33,306857192,2024-06-28 17:55:44,3,0.195,0.19353858,65.69,BTC-27JUN25-80000-C,60670.16,sell,0.1,0.1,,,,
34,306933198,2024-06-30 07:28:04,0,0.1955,0.19356724,64.86,BTC-27JUN25-80000-C,61526.95,buy,0.1,0.1,,,,
35,307006809,2024-07-01 03:30:57,0,0.2045,0.20432829,64.21,BTC-27JUN25-80000-C,63369.35,buy,0.1,0.1,,,,
36,307006827,2024-07-01 03:31:18,0,0.205,0.20430009,64.34,BTC-27JUN25-80000-C,63374.46,buy,0.1,0.1,,,,
37,307006830,2024-07-01 03:31:29,0,0.2055,0.20428081,64.47,BTC-27JUN25-80000-C,63373.75,buy,0.1,0.1,,,,
38,307006833,2024-07-01 03:31:40,0,0.206,0.2042809,64.6,BTC-27JUN25-80000-C,63373.61,buy,0.1,0.1,,,,
39,307006835,2024-07-01 03:31:49,1,0.206,0.20426819,64.6,BTC-27JUN25-80000-C,63373.03,buy,0.1,0.1,,,,
40,307006849,2024-07-01 03:31:58,1,0.206,0.20433516,64.58,BTC-27JUN25-80000-C,63381.62,buy,0.1,0.1,,,,
41,307006858,2024-07-01 03:32:05,1,0.206,0.20431299,64.59,BTC-27JUN25-80000-C,63376.58,buy,0.1,0.1,,,,
42,307006859,2024-07-01 03:32:10,1,0.206,0.20429043,64.59,BTC-27JUN25-80000-C,63373.17,buy,0.1,0.1,,,,
