trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_id,amount,combo_id,combo_trade_id,liquidation
1,306700343,2024-06-27 14:26:38,1,0.0895,0.08673385,69.11,BTC-27JUN25-130000-C,62260.84,buy,6.0,,6.0,,,
2,306708506,2024-06-27 15:36:17,2,0.0865,0.08733099,68.92,BTC-27JUN25-130000-C,61506.74,sell,0.9,,0.9,,,
3,306768828,2024-06-28 07:06:51,2,0.082,0.08532962,67.75,BTC-27JUN25-130000-C,61494.46,sell,0.2,,0.2,,,
4,306821108,2024-06-28 13:28:53,0,0.086,0.08684647,69.3,BTC-27JUN25-130000-C,61432.52,sell,1.0,,1.0,,,
5,306910493,2024-06-29 15:26:58,1,0.086,0.0848656,69.83,BTC-27JUN25-130000-C,60898.03,buy,1.9,,1.9,,,
6,306910494,2024-06-29 15:26:58,1,0.086,0.0848656,69.83,BTC-27JUN25-130000-C,60898.03,buy,3.1,,3.1,,,
7,306990879,2024-07-01 01:12:53,0,0.088,0.08828753,67.93,BTC-27JUN25-130000-C,63493.84,buy,0.2,,0.2,,,
8,307191188,2024-07-03 04:33:06,2,0.075,0.07524457,67.25,BTC-27JUN25-130000-C,60795.55,sell,0.1,,0.1,,,
9,307223032,2024-07-03 10:32:18,2,0.0725,0.07172616,67.24,BTC-27JUN25-130000-C,60060.43,sell,0.2,,0.2,,,
10,307259383,2024-07-03 14:36:51,2,0.068,0.068371,65.52,BTC-27JUN25-130000-C,60248.41,sell,0.1,,0.1,,,
11,307320379,2024-07-04 01:48:37,2,0.067,0.06756009,66.35,BTC-27JUN25-130000-C,59253.02,sell,0.1,,0.1,,,
12,307417281,2024-07-04 11:04:17,2,0.065,0.06422695,67.01,BTC-27JUN25-130000-C,57878.2,buy,1.9,,1.9,,,
13,307529329,2024-07-05 02:59:29,2,0.063,0.06176177,68.77,BTC-27JUN25-130000-C,55581.73,sell,0.1,,0.1,,,
14,307529330,2024-07-05 02:59:29,3,0.063,0.06176177,68.77,BTC-27JUN25-130000-C,55581.73,sell,0.1,,0.1,,,
15,307563563,2024-07-05 04:19:38,2,0.06,0.05826843,69.6,BTC-27JUN25-130000-C,53683.82,sell,0.1,,0.1,,,
16,307589602,2024-07-05 05:35:54,3,0.06,0.06036468,69.05,BTC-27JUN25-130000-C,54231.34,buy,3.0,,3.0,,,
17,307700000,2024-07-05 14:07:13,0,0.0615,0.06240355,68.08,BTC-27JUN25-130000-C,55668.5,buy,0.1,,0.1,,,
18,307782800,2024-07-06 06:22:07,0,0.065,0.06425981,68.34,BTC-27JUN25-130000-C,56548.77,buy,0.7,,0.7,,,
19,307783332,2024-07-06 06:34:57,1,0.065,0.06420535,68.37,BTC-27JUN25-130000-C,56524.06,buy,0.2,,0.2,,,
20,307901468,2024-07-07 20:36:44,0,0.0695,0.06998344,69.31,BTC-27JUN25-130000-C,57240.72,buy,0.2,,0.2,,,
