trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_trade_id,combo_id,liquidation,block_trade_id
1102,302870627,2024-05-24 01:36:19,0,0.171,0.17096527,67.12,BTC-27DEC24-80000-C,67765.51,buy,0.1,0.1,,,,
1103,302873535,2024-05-24 02:52:25,1,0.171,0.17113641,67.08,BTC-27DEC24-80000-C,67819.85,buy,0.1,0.1,,,,
1104,302882334,2024-05-24 05:23:09,2,0.17,0.170175,67.39,BTC-27DEC24-80000-C,67502.73,sell,1.0,1.0,,,,
1105,303024070,2024-05-25 10:45:56,0,0.1725,0.1723017,65.59,BTC-27DEC24-80000-C,69371.27,buy,0.5,0.5,,,,
1106,303079234,2024-05-26 13:44:33,0,0.174,0.17216476,66.94,BTC-27DEC24-80000-C,68966.95,buy,0.1,0.1,,,,
1107,303079235,2024-05-26 13:44:33,0,0.1745,0.17216476,67.11,BTC-27DEC24-80000-C,68966.95,buy,19.9,19.9,,,,
1108,303080229,2024-05-26 14:08:32,2,0.1725,0.17238024,66.2,BTC-27DEC24-80000-C,69095.24,buy,5.0,5.0,,,,
1109,303119261,2024-05-27 03:56:04,2,0.172,0.17222755,66.42,BTC-27DEC24-80000-C,68804.57,buy,0.8,0.8,,,,
1110,303199099,2024-05-27 16:41:14,0,0.183,0.18231232,66.85,BTC-27DEC24-80000-C,70366.93,sell,0.1,0.1,,,,
1111,303332874,2024-05-28 13:51:25,2,0.1715,0.17165975,67.93,BTC-27DEC24-80000-C,67832.99,buy,0.1,0.1,,,,
1112,303334259,2024-05-28 13:57:07,2,0.171,0.17130487,68.06,BTC-27DEC24-80000-C,67663.71,sell,1.5,1.5,,,,
1113,303334334,2024-05-28 13:57:10,2,0.1705,0.1711468,67.94,BTC-27DEC24-80000-C,67646.59,buy,0.1,0.1,,,,
1114,303361334,2024-05-28 17:05:13,2,0.1685,0.16843674,67.45,BTC-27DEC24-80000-C,67612.49,buy,0.1,0.1,,,,
1115,303368254,2024-05-28 18:36:48,2,0.167,0.16660881,67.2,BTC-27DEC24-80000-C,67456.11,sell,0.1,0.1,,,,
1116,303424898,2024-05-29 08:46:17,0,0.1685,0.16918662,67.11,BTC-27DEC24-80000-C,67770.99,buy,5.0,5.0,,,,
1117,303428040,2024-05-29 09:27:24,2,0.166,0.16735041,66.46,BTC-27DEC24-80000-C,67658.31,buy,0.1,0.1,,,,
1118,303458657,2024-05-29 14:58:34,3,0.166,0.16637126,66.54,BTC-27DEC24-80000-C,67612.24,buy,0.1,0.1,,,,
1119,303544526,2024-05-30 08:14:01,2,0.165,0.1649235,67.12,BTC-27DEC24-80000-C,67224.73,sell,0.1,0.1,,,,
1120,303579682,2024-05-30 14:40:16,0,0.1695,0.16880417,66.32,BTC-27DEC24-80000-C,68508.88,buy,0.1,0.1,,,,
1121,303579683,2024-05-30 14:40:16,1,0.1695,0.16880417,66.32,BTC-27DEC24-80000-C,68508.88,sell,4.9,4.9,,,,
1122,303583506,2024-05-30 15:03:20,2,0.168,0.16839236,66.02,BTC-27DEC24-80000-C,68391.28,sell,2.0,2.0,,,,
1123,303585263,2024-05-30 15:11:02,2,0.1675,0.16740434,66.16,BTC-27DEC24-80000-C,68232.46,buy,0.9,0.9,,,,
1124,303585558,2024-05-30 15:15:24,0,0.168,0.1677574,66.24,BTC-27DEC24-80000-C,68285.5,buy,0.1,0.1,,,,
1125,303597052,2024-05-30 17:22:47,0,0.171,0.17064076,66.28,BTC-27DEC24-80000-C,68853.62,sell,1.6,1.6,,,,
1126,303597053,2024-05-30 17:22:47,1,0.171,0.17064076,66.28,BTC-27DEC24-80000-C,68853.62,sell,3.4,3.4,,,,
1127,303597285,2024-05-30 17:23:22,1,0.171,0.17105751,66.14,BTC-27DEC24-80000-C,68935.9,sell,2.0,2.0,,,,
1128,303598813,2024-05-30 17:31:49,0,0.172,0.17206942,66.18,BTC-27DEC24-80000-C,69109.03,sell,2.0,2.0,,,,
1129,303605825,2024-05-30 18:04:40,0,0.1725,0.17288861,65.91,BTC-27DEC24-80000-C,69329.75,buy,0.1,0.1,,,,
1130,303609487,2024-05-30 18:28:53,1,0.1725,0.17324011,65.96,BTC-27DEC24-80000-C,69278.92,buy,0.1,0.1,,,,
1131,303610909,2024-05-30 18:48:33,1,0.1725,0.17204268,66.07,BTC-27DEC24-80000-C,69233.55,buy,0.1,0.1,,,,
1132,303615568,2024-05-30 19:36:23,2,0.17,0.17080318,65.85,BTC-27DEC24-80000-C,68903.96,buy,0.1,0.1,,,,
1133,303665072,2024-05-31 07:58:50,2,0.165,0.16519009,65.89,BTC-27DEC24-80000-C,68144.93,buy,1.7,1.7,,,,
1134,303720724,2024-05-31 14:23:50,2,0.1605,0.16157841,64.95,BTC-27DEC24-80000-C,67770.96,sell,0.1,0.1,,,,
1135,303754008,2024-05-31 17:22:35,2,0.1575,0.15762912,65.05,BTC-27DEC24-80000-C,67301.82,buy,0.1,0.1,,,,
1136,303834648,2024-06-02 14:13:39,0,0.1595,0.16164958,64.38,BTC-27DEC24-80000-C,68053.31,sell,1.0,1.0,,,,
1137,303849021,2024-06-02 18:34:18,0,0.16,0.15974209,65.37,BTC-27DEC24-80000-C,67572.06,sell,0.3,0.3,,,,
1138,303877301,2024-06-03 01:36:46,0,0.1625,0.16226453,64.89,BTC-27DEC24-80000-C,68246.01,sell,0.3,0.3,,,,
1139,303878444,2024-06-03 01:51:12,2,0.162,0.16218053,64.58,BTC-27DEC24-80000-C,68302.76,buy,0.3,0.3,,,,
