trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,combo_id,block_trade_id,combo_trade_id,liquidation
1,294600811,2024-03-29 09:51:35,1,0.152,0.15172091,86.1,BTC-28MAR25-150000-C,69720.45,sell,3.0,3.0,,,,
2,294611324,2024-03-29 11:20:10,2,0.15,0.15104371,85.21,BTC-28MAR25-150000-C,70219.92,sell,0.2,0.2,,,,
3,294695854,2024-03-30 09:05:13,2,0.1385,0.14959287,82.32,BTC-28MAR25-150000-C,69961.59,sell,0.1,0.1,,,,
4,294696119,2024-03-30 09:13:55,0,0.147,0.1488925,84.52,BTC-28MAR25-150000-C,70019.9,buy,0.1,0.1,,,,
5,294871742,2024-04-01 10:56:03,0,0.154,0.1540197,86.84,BTC-28MAR25-150000-C,69581.43,sell,0.5,0.5,,,,
6,294874001,2024-04-01 11:21:10,0,0.1565,0.15397209,87.42,BTC-28MAR25-150000-C,69660.69,buy,0.1,0.1,,,,
7,294884264,2024-04-01 13:54:38,2,0.152,0.15438018,86.06,BTC-28MAR25-150000-C,69831.23,sell,0.1,0.1,,,,
8,294884265,2024-04-01 13:54:38,3,0.152,0.15438018,86.06,BTC-28MAR25-150000-C,69831.23,sell,1.7,1.7,,,,
9,294931812,2024-04-01 17:48:31,2,0.144,0.14640168,85.51,BTC-28MAR25-150000-C,68406.11,sell,0.2,0.2,,,,
10,294945348,2024-04-01 19:41:16,3,0.144,0.14750881,84.68,BTC-28MAR25-150000-C,69319.04,buy,0.2,0.2,,,,
11,294947735,2024-04-01 19:58:25,0,0.1475,0.14639656,85.35,BTC-28MAR25-150000-C,69643.52,buy,0.1,0.1,,,,
12,294947736,2024-04-01 19:58:25,1,0.1475,0.14639656,85.35,BTC-28MAR25-150000-C,69643.52,buy,0.1,0.1,,,,
13,294995347,2024-04-02 02:39:17,2,0.145,0.14476376,87.14,BTC-28MAR25-150000-C,66733.52,sell,0.3,0.3,,,,
14,294996821,2024-04-02 02:39:26,2,0.143,0.14289075,87.05,BTC-28MAR25-150000-C,66111.39,sell,0.3,0.3,,,,
15,295085490,2024-04-02 10:04:13,2,0.139,0.1418215,86.52,BTC-28MAR25-150000-C,66019.63,sell,0.1,0.1,,,,
16,295115801,2024-04-02 12:39:00,2,0.1365,0.13886558,86.16,BTC-28MAR25-150000-C,65696.45,sell,1.0,1.0,,,,
17,295264370,2024-04-03 09:21:36,0,0.1385,0.14076471,85.96,BTC-28MAR25-150000-C,66449.0,sell,1.0,1.0,,,,
18,295346419,2024-04-03 21:54:00,2,0.135,0.1362638,85.9,BTC-28MAR25-150000-C,65920.36,sell,0.1,0.1,,,,
19,295420243,2024-04-04 13:44:01,0,0.14,0.14169043,85.42,BTC-28MAR25-150000-C,67404.01,sell,1.0,1.0,,,,
20,295460560,2024-04-04 18:01:58,0,0.142,0.14273072,84.69,BTC-28MAR25-150000-C,69225.97,buy,0.1,0.1,,,,
21,295567990,2024-04-05 09:02:16,2,0.136,0.13704335,85.32,BTC-28MAR25-150000-C,67091.44,sell,25.0,25.0,,135688,,
22,295568239,2024-04-05 09:03:52,3,0.136,0.13706022,85.32,BTC-28MAR25-150000-C,67090.19,sell,25.0,25.0,,135689,,
23,295633495,2024-04-05 17:20:40,0,0.1385,0.13886547,85.61,BTC-28MAR25-150000-C,67847.54,sell,0.5,0.5,,,,
24,295634112,2024-04-05 17:25:42,1,0.1385,0.13886929,85.61,BTC-28MAR25-150000-C,67833.04,sell,0.5,0.5,,,,
25,295634440,2024-04-05 17:30:43,1,0.1385,0.13864492,85.66,BTC-28MAR25-150000-C,67789.91,sell,0.5,0.5,,,,
