trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_id,amount,liquidation,combo_trade_id,combo_id
1,258938659,2023-06-22 13:29:53,1,0.0855,0.08707235,57.5,BTC-28JUN24-50000-C,30256.47,sell,,,5.0,,,
2,259682956,2023-06-29 09:27:54,2,0.085,0.0822084,57.27,BTC-28JUN24-50000-C,30438.69,buy,,,0.1,,,
3,259755689,2023-06-30 00:29:29,2,0.0785,0.08083211,55.29,BTC-28JUN24-50000-C,30492.14,sell,,,0.1,,,
4,259838301,2023-06-30 08:10:58,2,0.0725,0.07765565,53.04,BTC-28JUN24-50000-C,30733.06,sell,,,1.8,,,
5,259857933,2023-06-30 10:35:51,0,0.079,0.08018658,54.78,BTC-28JUN24-50000-C,30753.46,buy,,,2.0,,,
6,259876023,2023-06-30 12:50:30,0,0.084,0.08326087,55.34,BTC-28JUN24-50000-C,31053.31,buy,,,1.0,,,
7,260053200,2023-07-02 18:50:41,2,0.081,0.08235232,55.86,BTC-28JUN24-50000-C,30481.24,sell,,,1.0,,,
8,260053975,2023-07-02 19:51:53,2,0.079,0.08156869,55.11,BTC-28JUN24-50000-C,30559.51,buy,,,0.1,,,
9,260084657,2023-07-03 07:36:42,0,0.0835,0.08299807,56.07,BTC-28JUN24-50000-C,30716.57,buy,,,0.1,,,
10,260113097,2023-07-03 15:04:45,0,0.085,0.08394969,56.37,BTC-28JUN24-50000-C,30894.15,buy,,,1.0,,,
11,260115993,2023-07-03 15:16:13,0,0.0855,0.08513333,56.26,BTC-28JUN24-50000-C,30932.13,buy,,,1.0,,,
12,260119425,2023-07-03 15:36:51,0,0.086,0.08641742,56.2,BTC-28JUN24-50000-C,31027.65,buy,,,0.1,,,
13,260297899,2023-07-05 22:08:28,2,0.0839,0.08410814,56.71,BTC-28JUN24-50000-C,30475.09,sell,,83571,25.0,,,BTC-CS-28JUN24-40000_50000
14,260433454,2023-07-06 20:49:59,0,0.087,0.08826869,58.14,BTC-28JUN24-50000-C,30277.44,sell,,,0.1,,,
15,260454196,2023-07-07 00:18:26,2,0.0865,0.0867082,58.68,BTC-28JUN24-50000-C,29989.31,sell,,,0.1,,,
16,260454901,2023-07-07 00:29:30,3,0.0865,0.08644109,58.68,BTC-28JUN24-50000-C,29987.08,sell,,,0.1,,,
17,260719095,2023-07-11 18:05:19,2,0.082,0.08528978,56.37,BTC-28JUN24-50000-C,30560.9,sell,,,0.1,,,
18,260721822,2023-07-11 18:52:40,3,0.082,0.08298922,56.67,BTC-28JUN24-50000-C,30469.42,sell,,,0.1,,,
19,260721823,2023-07-11 18:52:40,3,0.082,0.08298922,56.67,BTC-28JUN24-50000-C,30469.42,sell,,,0.1,,,
20,260789097,2023-07-12 14:38:08,0,0.084,0.08512836,56.56,BTC-28JUN24-50000-C,30786.62,buy,,,1.0,,,
