trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_id,combo_trade_id,combo_id,liquidation
944,283192514,2024-02-09 14:03:09,2,0.039,0.03939062,59.15,BTC-28JUN24-70000-C,47478.46,sell,1.1,1.1,,,,
945,283195601,2024-02-09 14:16:10,0,0.04,0.03933672,59.63,BTC-28JUN24-70000-C,47504.18,buy,2.1,2.1,,,,
946,283195602,2024-02-09 14:16:10,1,0.04,0.03933672,59.63,BTC-28JUN24-70000-C,47504.18,buy,2.1,2.1,,,,
947,283195603,2024-02-09 14:16:10,1,0.04,0.03933672,59.63,BTC-28JUN24-70000-C,47504.18,buy,2.1,2.1,,,,
948,283195604,2024-02-09 14:16:10,1,0.04,0.03933672,59.63,BTC-28JUN24-70000-C,47504.18,buy,2.1,2.1,,,,
949,283195605,2024-02-09 14:16:10,1,0.04,0.03933672,59.63,BTC-28JUN24-70000-C,47504.18,buy,2.1,2.1,,,,
950,283195606,2024-02-09 14:16:10,1,0.04,0.03933672,59.63,BTC-28JUN24-70000-C,47504.18,buy,1.2,1.2,,,,
951,283196113,2024-02-09 14:17:19,1,0.04,0.03910922,59.84,BTC-28JUN24-70000-C,47391.45,buy,9.6,9.6,,,,
952,283196114,2024-02-09 14:17:19,0,0.0405,0.03910922,60.11,BTC-28JUN24-70000-C,47391.45,buy,6.0,6.0,,,,
953,283196118,2024-02-09 14:17:19,1,0.0405,0.03910922,60.11,BTC-28JUN24-70000-C,47391.45,sell,2.0,2.0,,,,
954,283202146,2024-02-09 14:23:23,1,0.0405,0.041164,61.02,BTC-28JUN24-70000-C,46940.49,sell,22.4,22.4,,,,
955,283218860,2024-02-09 15:32:06,0,0.0432,0.04057431,61.99,BTC-28JUN24-70000-C,47188.43,buy,500.0,500.0,125295,,,
956,283222961,2024-02-09 15:47:12,2,0.042,0.04093284,61.21,BTC-28JUN24-70000-C,47251.68,buy,12.0,12.0,,,,
957,283222962,2024-02-09 15:47:12,3,0.042,0.04093284,61.21,BTC-28JUN24-70000-C,47251.68,buy,2.5,2.5,,,,
958,283222963,2024-02-09 15:47:12,3,0.042,0.04093284,61.21,BTC-28JUN24-70000-C,47251.68,buy,6.0,6.0,,,,
959,283222964,2024-02-09 15:47:12,3,0.042,0.04093284,61.21,BTC-28JUN24-70000-C,47251.68,buy,6.0,6.0,,,,
960,283236572,2024-02-09 17:25:41,0,0.0455,0.04231703,62.41,BTC-28JUN24-70000-C,47573.17,buy,500.0,500.0,125305,,,
961,283242850,2024-02-09 18:01:21,2,0.042,0.04348225,60.05,BTC-28JUN24-70000-C,47809.08,sell,0.1,0.1,,,,
962,283255721,2024-02-09 18:55:18,0,0.044,0.04419642,61.23,BTC-28JUN24-70000-C,47742.99,sell,5.0,5.0,,,,
963,283256751,2024-02-09 18:57:02,2,0.0435,0.04335357,61.34,BTC-28JUN24-70000-C,47554.77,buy,1.9,1.9,,,,
964,283264697,2024-02-09 19:43:43,2,0.042,0.04228512,60.58,BTC-28JUN24-70000-C,47575.95,sell,0.1,0.1,,,,
965,283264871,2024-02-09 19:45:44,3,0.042,0.0420106,60.72,BTC-28JUN24-70000-C,47519.7,buy,0.1,0.1,,,,
966,283265304,2024-02-09 19:48:35,3,0.042,0.04203845,60.7,BTC-28JUN24-70000-C,47530.77,sell,4.9,4.9,,,,
967,283265636,2024-02-09 19:52:37,2,0.0415,0.04179887,60.57,BTC-28JUN24-70000-C,47473.73,sell,0.2,0.2,,,,
968,283265763,2024-02-09 19:55:19,3,0.0415,0.04183942,60.52,BTC-28JUN24-70000-C,47487.3,sell,0.1,0.1,,,,
969,283265824,2024-02-09 19:55:55,3,0.0415,0.0417423,60.58,BTC-28JUN24-70000-C,47467.03,sell,0.1,0.1,,,,
970,283274330,2024-02-09 21:13:46,0,0.042,0.04182604,60.97,BTC-28JUN24-70000-C,47438.39,buy,5.0,5.0,,,,
971,283274366,2024-02-09 21:13:58,1,0.042,0.04186271,60.95,BTC-28JUN24-70000-C,47438.44,buy,5.0,5.0,,,,
972,283274532,2024-02-09 21:14:47,2,0.0415,0.04172542,60.73,BTC-28JUN24-70000-C,47413.12,sell,1.0,1.0,,,,
973,283274696,2024-02-09 21:17:03,0,0.042,0.04183757,60.91,BTC-28JUN24-70000-C,47456.34,buy,5.0,5.0,,,,
974,283275004,2024-02-09 21:22:51,2,0.0415,0.04189119,60.53,BTC-28JUN24-70000-C,47511.35,sell,12.0,12.0,,,,
975,283275005,2024-02-09 21:22:51,3,0.0415,0.04189119,60.53,BTC-28JUN24-70000-C,47511.35,sell,1.1,1.1,,,,
976,283275006,2024-02-09 21:22:51,3,0.0415,0.04189119,60.53,BTC-28JUN24-70000-C,47511.35,buy,1.9,1.9,,,,
977,283275008,2024-02-09 21:22:52,3,0.0415,0.04188828,60.53,BTC-28JUN24-70000-C,47511.35,buy,0.1,0.1,,,,
978,283275018,2024-02-09 21:22:56,3,0.0415,0.04188138,60.53,BTC-28JUN24-70000-C,47510.21,buy,0.1,0.1,,,,
979,283275077,2024-02-09 21:23:07,3,0.0415,0.04176834,60.59,BTC-28JUN24-70000-C,47486.62,buy,5.0,5.0,,,,
980,283275078,2024-02-09 21:23:07,3,0.0415,0.04176834,60.59,BTC-28JUN24-70000-C,47486.62,buy,1.9,1.9,,,,
981,283275079,2024-02-09 21:23:07,3,0.0415,0.04176834,60.59,BTC-28JUN24-70000-C,47486.62,buy,0.4,0.4,,,,
982,283275230,2024-02-09 21:25:14,2,0.041,0.04152045,60.36,BTC-28JUN24-70000-C,47480.55,buy,37.5,37.5,,,,
983,283308222,2024-02-10 08:36:01,2,0.0395,0.03916285,60.34,BTC-28JUN24-70000-C,47218.1,buy,0.1,0.1,,,,
984,283341533,2024-02-10 20:46:34,0,0.041,0.04137863,59.55,BTC-28JUN24-70000-C,48002.98,buy,5.0,5.0,,,,
985,283343449,2024-02-10 20:50:33,0,0.042,0.04128201,60.08,BTC-28JUN24-70000-C,48006.64,buy,0.7,0.7,,,,
986,283343450,2024-02-10 20:50:33,1,0.042,0.04128201,60.08,BTC-28JUN24-70000-C,48006.64,buy,1.0,1.0,,,,
987,283355561,2024-02-10 23:12:02,0,0.0425,0.04290573,60.61,BTC-28JUN24-70000-C,47879.58,buy,0.1,0.1,,,,
988,283361743,2024-02-11 01:44:14,0,0.043,0.04213987,61.28,BTC-28JUN24-70000-C,47708.8,buy,1.5,1.5,,,,
989,283417368,2024-02-11 12:47:44,0,0.0465,0.04578493,61.61,BTC-28JUN24-70000-C,48332.64,buy,0.1,0.1,,,,
990,283417369,2024-02-11 12:47:44,1,0.0465,0.04578493,61.61,BTC-28JUN24-70000-C,48332.64,buy,3.4,3.4,,,,
991,283454728,2024-02-11 22:46:23,2,0.046,0.04524082,61.68,BTC-28JUN24-70000-C,48190.5,sell,0.1,0.1,,,,
992,283454732,2024-02-11 22:47:31,3,0.046,0.04532793,61.68,BTC-28JUN24-70000-C,48188.52,sell,0.1,0.1,,,,
993,283454733,2024-02-11 22:47:31,3,0.046,0.04532793,61.68,BTC-28JUN24-70000-C,48188.52,sell,0.1,0.1,,,,
994,283454734,2024-02-11 22:47:31,3,0.046,0.04532793,61.68,BTC-28JUN24-70000-C,48188.52,sell,0.1,0.1,,,,
995,283454735,2024-02-11 22:47:31,3,0.046,0.04532793,61.68,BTC-28JUN24-70000-C,48188.52,sell,0.1,0.1,,,,
996,283454736,2024-02-11 22:47:31,3,0.046,0.04532793,61.68,BTC-28JUN24-70000-C,48188.52,sell,0.1,0.1,,,,
997,283454744,2024-02-11 22:48:56,3,0.046,0.04537951,61.69,BTC-28JUN24-70000-C,48187.46,sell,0.3,0.3,,,,
998,283482581,2024-02-12 04:37:30,2,0.0445,0.04469534,61.13,BTC-28JUN24-70000-C,48111.09,sell,1.3,1.3,,,,
999,283516795,2024-02-12 13:17:13,0,0.0465,0.04538753,62.57,BTC-28JUN24-70000-C,47948.69,buy,4.6,4.6,,,,
1000,283516796,2024-02-12 13:17:13,1,0.0465,0.04538753,62.57,BTC-28JUN24-70000-C,47948.69,buy,6.0,6.0,,,,
1001,283516797,2024-02-12 13:17:13,1,0.0465,0.04538753,62.57,BTC-28JUN24-70000-C,47948.69,sell,6.2,6.2,,,,
1002,283516798,2024-02-12 13:17:13,1,0.0465,0.04538753,62.57,BTC-28JUN24-70000-C,47948.69,sell,2.4,2.4,,,,
1003,283516799,2024-02-12 13:17:18,1,0.0465,0.04548483,62.57,BTC-28JUN24-70000-C,47948.69,buy,6.0,6.0,,,,
1004,283516804,2024-02-12 13:17:23,1,0.0465,0.04556242,62.57,BTC-28JUN24-70000-C,47948.29,buy,6.0,6.0,,,,
1005,283524205,2024-02-12 14:37:51,0,0.054,0.05337273,65.38,BTC-28JUN24-70000-C,48333.93,buy,0.1,0.1,,,,
1006,283536499,2024-02-12 15:10:19,0,0.058,0.0578941,65.62,BTC-28JUN24-70000-C,49067.1,sell,1.0,1.0,,,,M
1007,283539808,2024-02-12 15:14:21,2,0.0575,0.05810058,65.33,BTC-28JUN24-70000-C,49094.64,buy,1.0,1.0,,,,
1008,283542417,2024-02-12 15:19:27,2,0.0572,0.05746938,65.73,BTC-28JUN24-70000-C,48843.55,sell,35.0,35.0,125476,,BTC-CS-28JUN24-60000_70000,
