trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,combo_id,block_trade_id
1,221631484,2022-07-01 11:32:10,1,0.062,0.0564002,77.19,BTC-30JUN23-50000-C,19164.97,buy,1.0,,
2,221793858,2022-07-04 01:12:25,2,0.053,0.0566245,74.1,BTC-30JUN23-50000-C,19130.8,sell,0.1,,
3,221956767,2022-07-05 08:15:57,0,0.059,0.05903567,73.94,BTC-30JUN23-50000-C,20074.13,buy,4.0,,
4,222248349,2022-07-07 14:38:00,0,0.062,0.06029789,73.36,BTC-30JUN23-50000-C,20854.84,sell,1.0,,
5,222248425,2022-07-07 14:38:55,0,0.0645,0.06039581,74.25,BTC-30JUN23-50000-C,20837.7,buy,2.0,,
6,222250262,2022-07-07 14:48:02,1,0.0645,0.06158599,74.15,BTC-30JUN23-50000-C,20859.18,sell,2.0,,
7,222251422,2022-07-07 14:54:46,2,0.0615,0.06156696,73.03,BTC-30JUN23-50000-C,20917.24,buy,2.0,,
8,222323919,2022-07-08 04:28:09,0,0.0735,0.06890443,74.2,BTC-30JUN23-50000-C,22088.16,buy,0.1,,
9,222324715,2022-07-08 04:41:15,1,0.0735,0.06840912,74.36,BTC-30JUN23-50000-C,22029.41,buy,0.3,,
10,222401842,2022-07-08 18:36:28,2,0.069,0.06838697,73.45,BTC-30JUN23-50000-C,21822.46,sell,1.0,,
11,222467336,2022-07-09 15:27:52,2,0.0595,0.0606935,70.79,BTC-30JUN23-50000-C,21616.37,sell,0.1,,
12,222467381,2022-07-09 15:30:02,2,0.0545,0.06023965,68.97,BTC-30JUN23-50000-C,21633.52,sell,0.1,,
13,222564618,2022-07-11 06:01:42,2,0.053,0.0544925,71.21,BTC-30JUN23-50000-C,20488.65,sell,1.5,,
14,222564619,2022-07-11 06:01:42,3,0.053,0.0544925,71.21,BTC-30JUN23-50000-C,20488.65,buy,3.5,,
15,222628820,2022-07-12 00:20:13,2,0.0525,0.05243854,72.65,BTC-30JUN23-50000-C,19921.35,sell,1.0,,
16,223142746,2022-07-16 16:51:34,0,0.055,0.05302249,70.63,BTC-30JUN23-50000-C,21325.1,buy,5.0,,
17,223169082,2022-07-16 21:33:42,0,0.0565,0.05380991,71.42,BTC-30JUN23-50000-C,21241.4,buy,5.0,,
18,223249229,2022-07-17 21:26:35,0,0.0575,0.05461839,72.54,BTC-30JUN23-50000-C,21016.06,buy,0.2,,
19,223249241,2022-07-17 21:26:41,1,0.0575,0.05458006,72.56,BTC-30JUN23-50000-C,21009.37,buy,0.1,,
20,223249242,2022-07-17 21:26:44,1,0.0575,0.05456957,72.56,BTC-30JUN23-50000-C,21008.08,buy,0.1,,
21,223299609,2022-07-18 06:36:32,1,0.0575,0.05768862,69.58,BTC-30JUN23-50000-C,22246.89,buy,4.6,,
22,223343183,2022-07-18 12:47:09,0,0.0595,0.05966498,70.58,BTC-30JUN23-50000-C,22146.39,buy,3.4,,
23,223343639,2022-07-18 12:51:49,2,0.0585,0.05931856,70.28,BTC-30JUN23-50000-C,22103.65,buy,0.6,,
24,223528818,2022-07-19 11:19:22,0,0.0595,0.05940721,70.85,BTC-30JUN23-50000-C,22076.98,sell,0.1,,
25,223528826,2022-07-19 11:19:39,1,0.0595,0.05952208,70.8,BTC-30JUN23-50000-C,22085.25,sell,0.1,,
26,223585616,2022-07-19 15:37:50,0,0.065,0.06569647,70.66,BTC-30JUN23-50000-C,22921.7,sell,0.1,,
27,223678593,2022-07-19 22:51:18,0,0.0745,0.06941264,72.79,BTC-30JUN23-50000-C,23461.11,buy,0.1,,
28,223814979,2022-07-20 16:09:59,0,0.0808,0.07967951,73.13,BTC-30JUN23-50000-C,24144.0,buy,50.0,,45348
29,223815029,2022-07-20 16:10:51,2,0.08,0.07952674,72.9,BTC-30JUN23-50000-C,24128.03,sell,5.9,,
30,223815304,2022-07-20 16:13:37,0,0.0815,0.07918444,73.47,BTC-30JUN23-50000-C,24094.28,buy,100.0,,45350
31,223834273,2022-07-20 17:35:10,2,0.078,0.07628032,73.36,BTC-30JUN23-50000-C,23670.75,sell,7.6,,
32,223995257,2022-07-21 14:30:22,2,0.069,0.0670137,73.47,BTC-30JUN23-50000-C,22467.29,sell,8.7,,
33,224264661,2022-07-23 14:44:13,0,0.07,0.06938225,74.49,BTC-30JUN23-50000-C,22259.98,sell,0.5,,
34,224264677,2022-07-23 14:44:57,1,0.07,0.06938169,74.5,BTC-30JUN23-50000-C,22265.64,sell,0.1,,
35,224892723,2022-07-28 12:49:04,2,0.0695,0.06496646,72.58,BTC-30JUN23-50000-C,23183.8,buy,5.0,,
36,225088488,2022-07-29 08:57:48,2,0.0685,0.06714078,70.17,BTC-30JUN23-50000-C,23930.19,buy,7.2,,
37,225097591,2022-07-29 10:31:46,2,0.064,0.06694529,68.47,BTC-30JUN23-50000-C,24013.72,sell,0.1,,
38,225283635,2022-07-30 12:24:48,0,0.075,0.07081521,72.24,BTC-30JUN23-50000-C,24061.78,sell,1.0,,
39,225530642,2022-08-01 18:43:41,2,0.064,0.06422515,71.61,BTC-30JUN23-50000-C,22898.5,sell,0.9,,
40,225628844,2022-08-02 16:27:19,0,0.0665,0.06439504,71.75,BTC-30JUN23-50000-C,23280.97,buy,2.8,,
41,225629803,2022-08-02 16:29:39,1,0.0665,0.06464142,71.64,BTC-30JUN23-50000-C,23324.77,buy,2.2,,
42,225925067,2022-08-06 00:46:33,2,0.065,0.06845686,71.47,BTC-30JUN23-50000-C,23317.17,sell,0.1,,
43,226008439,2022-08-08 05:12:24,0,0.0705,0.06913001,73.61,BTC-30JUN23-50000-C,23359.07,buy,5.0,,
44,226037379,2022-08-08 10:39:59,0,0.074,0.0756073,72.94,BTC-30JUN23-50000-C,24089.52,buy,2.0,,
45,226037396,2022-08-08 10:40:47,2,0.0735,0.07549533,72.77,BTC-30JUN23-50000-C,24090.04,buy,2.0,,
46,226037397,2022-08-08 10:40:51,3,0.0735,0.07548135,72.77,BTC-30JUN23-50000-C,24090.05,buy,2.0,,
47,226074928,2022-08-08 20:02:03,0,0.075,0.07475245,73.79,BTC-30JUN23-50000-C,23940.11,sell,0.1,,
48,226098046,2022-08-09 08:07:17,1,0.075,0.0732411,74.02,BTC-30JUN23-50000-C,23868.75,sell,5.0,,
49,226119524,2022-08-09 12:30:27,2,0.074,0.07033435,75.27,BTC-30JUN23-50000-C,23251.55,buy,0.1,,
50,226273264,2022-08-11 02:42:49,0,0.075,0.0738142,73.3,BTC-30JUN23-50000-C,24307.16,sell,3.0,,
51,226314335,2022-08-11 13:05:32,1,0.075,0.0742091,71.94,BTC-30JUN23-50000-C,24854.11,sell,1.0,,
52,226317367,2022-08-11 13:27:25,1,0.075,0.07368091,72.44,BTC-30JUN23-50000-C,24644.51,sell,5.0,,
53,226335714,2022-08-11 16:15:41,2,0.072,0.07179111,72.3,BTC-30JUN23-50000-C,24285.89,sell,1.0,,
54,226409278,2022-08-12 14:10:40,2,0.0679,0.06649049,72.07,BTC-30JUN23-50000-C,23841.14,buy,25.0,,47010
55,226529725,2022-08-14 13:07:26,0,0.0795,0.07039857,74.5,BTC-30JUN23-50000-C,24510.13,buy,0.1,,
56,226529846,2022-08-14 13:11:49,2,0.075,0.07094586,73.0,BTC-30JUN23-50000-C,24509.69,sell,0.1,,
57,226569994,2022-08-15 03:20:11,2,0.074,0.07126079,71.42,BTC-30JUN23-50000-C,25115.39,sell,1.0,,
58,226570040,2022-08-15 03:20:58,3,0.074,0.07121257,71.44,BTC-30JUN23-50000-C,25108.91,sell,1.0,,
59,226570050,2022-08-15 03:21:14,0,0.0745,0.07118439,71.63,BTC-30JUN23-50000-C,25100.42,sell,1.0,,
60,226570072,2022-08-15 03:21:20,1,0.0745,0.07117831,71.63,BTC-30JUN23-50000-C,25094.54,sell,2.0,,
61,226639435,2022-08-15 21:20:03,2,0.068,0.0650668,72.06,BTC-30JUN23-50000-C,24079.28,sell,15.0,,
62,226639468,2022-08-15 21:20:19,0,0.0685,0.06509571,72.22,BTC-30JUN23-50000-C,24080.5,buy,15.0,,
63,226639471,2022-08-15 21:20:31,1,0.0685,0.06510992,72.22,BTC-30JUN23-50000-C,24080.44,buy,15.0,,
64,226715388,2022-08-16 22:14:49,0,0.069,0.06324165,72.74,BTC-30JUN23-50000-C,23910.22,buy,0.5,,
65,226715389,2022-08-16 22:14:49,0,0.08,0.06324165,76.49,BTC-30JUN23-50000-C,23910.22,buy,0.1,,
66,226786214,2022-08-17 14:03:33,0,0.0688,0.06474597,74.02,BTC-30JUN23-50000-C,23417.03,buy,500.0,,47316
67,226786431,2022-08-17 14:05:40,2,0.067,0.06489332,73.35,BTC-30JUN23-50000-C,23428.93,sell,7.9,,
68,226786432,2022-08-17 14:05:40,3,0.067,0.06489332,73.35,BTC-30JUN23-50000-C,23428.93,sell,4.2,,
69,226786433,2022-08-17 14:05:40,3,0.067,0.06489332,73.35,BTC-30JUN23-50000-C,23428.93,sell,0.9,,
70,226786479,2022-08-17 14:05:59,0,0.0675,0.06491839,73.53,BTC-30JUN23-50000-C,23430.62,sell,7.0,,
71,226786571,2022-08-17 14:06:23,0,0.068,0.06525033,73.6,BTC-30JUN23-50000-C,23467.73,sell,7.0,,
72,226786600,2022-08-17 14:06:33,1,0.068,0.06517604,73.64,BTC-30JUN23-50000-C,23454.49,sell,12.8,,
73,226786621,2022-08-17 14:06:34,1,0.068,0.06516965,73.64,BTC-30JUN23-50000-C,23454.49,sell,0.1,,
74,226786654,2022-08-17 14:06:53,0,0.0685,0.06522787,73.82,BTC-30JUN23-50000-C,23455.53,buy,15.0,,
75,226786859,2022-08-17 14:09:34,2,0.068,0.06556766,73.75,BTC-30JUN23-50000-C,23420.77,sell,0.1,,
76,226794361,2022-08-17 15:41:54,2,0.063,0.06625544,72.02,BTC-30JUN23-50000-C,23393.39,sell,1.0,,
77,226825588,2022-08-17 22:07:11,0,0.066,0.06580901,73.46,BTC-30JUN23-50000-C,23270.63,buy,2.7,,
78,226887781,2022-08-18 18:55:12,0,0.067,0.06596948,73.98,BTC-30JUN23-50000-C,23302.29,sell,0.2,,
79,226927706,2022-08-19 06:37:40,2,0.063,0.06253033,74.54,BTC-30JUN23-50000-C,22513.13,sell,0.1,,
80,227001085,2022-08-19 10:43:29,2,0.056,0.05597934,74.06,BTC-30JUN23-50000-C,21682.55,sell,0.5,,
81,227096126,2022-08-20 01:42:56,2,0.0555,0.05708173,75.58,BTC-30JUN23-50000-C,20999.52,buy,0.2,,
82,227215279,2022-08-22 03:46:17,0,0.06,0.05696459,76.53,BTC-30JUN23-50000-C,21450.81,sell,0.5,,
83,227215784,2022-08-22 04:06:22,1,0.06,0.05711035,76.63,BTC-30JUN23-50000-C,21390.68,sell,1.0,,
84,227216231,2022-08-22 04:25:36,0,0.0605,0.05741658,76.82,BTC-30JUN23-50000-C,21421.29,sell,1.0,,
85,227216392,2022-08-22 04:33:57,1,0.0605,0.05779711,76.82,BTC-30JUN23-50000-C,21414.75,sell,1.0,,
86,227261300,2022-08-22 17:37:25,0,0.061,0.05790411,77.45,BTC-30JUN23-50000-C,21259.01,buy,250.0,,47660
87,227261530,2022-08-22 17:42:23,1,0.061,0.05779023,77.52,BTC-30JUN23-50000-C,21248.88,buy,250.0,,47662
88,227375092,2022-08-24 09:12:20,2,0.057,0.05745861,75.94,BTC-30JUN23-50000-C,21359.4,sell,0.2,,
89,227375093,2022-08-24 09:12:20,3,0.057,0.05745861,75.94,BTC-30JUN23-50000-C,21359.4,buy,8.2,,
90,227380194,2022-08-24 11:26:25,3,0.057,0.05610507,75.89,BTC-30JUN23-50000-C,21379.14,buy,1.6,,
91,227519439,2022-08-26 11:50:03,2,0.053,0.05396263,75.17,BTC-30JUN23-50000-C,21177.01,sell,1.0,,
92,227569357,2022-08-26 15:00:41,2,0.0515,0.05071544,75.09,BTC-30JUN23-50000-C,20986.25,sell,0.5,,
93,227569358,2022-08-26 15:00:41,3,0.0515,0.05071544,75.09,BTC-30JUN23-50000-C,20986.25,sell,1.0,,
94,227579589,2022-08-26 15:15:36,2,0.0505,0.04967285,75.4,BTC-30JUN23-50000-C,20738.29,sell,0.1,,
95,227579612,2022-08-26 15:15:36,3,0.0505,0.04967285,75.4,BTC-30JUN23-50000-C,20738.29,sell,0.1,,
96,227579660,2022-08-26 15:15:36,3,0.0505,0.04967285,75.45,BTC-30JUN23-50000-C,20717.58,sell,0.2,,
97,227579663,2022-08-26 15:15:36,3,0.0505,0.04967285,75.45,BTC-30JUN23-50000-C,20717.58,sell,0.1,,
98,227609586,2022-08-26 18:40:28,2,0.0495,0.0494494,75.19,BTC-30JUN23-50000-C,20650.86,sell,0.1,,
99,227638557,2022-08-26 23:36:34,2,0.047,0.04692148,75.4,BTC-30JUN23-50000-C,20210.56,sell,0.5,,
100,227671732,2022-08-27 09:46:28,2,0.046,0.04488149,75.03,BTC-30JUN23-50000-C,20169.53,sell,2.0,,
101,227827145,2022-08-30 01:17:35,0,0.049,0.04474041,76.44,BTC-30JUN23-50000-C,20264.99,buy,0.6,,
102,227847278,2022-08-30 09:08:12,0,0.0495,0.04522355,76.37,BTC-30JUN23-50000-C,20395.39,buy,1.0,,
103,227849825,2022-08-30 10:25:35,2,0.0475,0.04644391,75.35,BTC-30JUN23-50000-C,20470.0,sell,1.0,,
104,227983543,2022-08-31 19:53:16,2,0.045,0.04307448,74.98,BTC-30JUN23-50000-C,20273.98,buy,4.0,,
105,227985715,2022-08-31 20:46:50,2,0.0443,0.04394365,74.96,BTC-30JUN23-50000-C,20172.38,buy,50.0,BTC-CS-30JUN23-22000_50000,48312
106,228229212,2022-09-04 16:22:55,2,0.041,0.04144319,75.08,BTC-30JUN23-50000-C,19730.08,buy,0.1,,
107,228257788,2022-09-05 09:12:51,2,0.04,0.0405256,74.6,BTC-30JUN23-50000-C,19768.89,sell,0.1,,
108,228282309,2022-09-05 20:55:01,0,0.043,0.04102102,76.09,BTC-30JUN23-50000-C,19755.61,buy,0.1,,
109,228431469,2022-09-06 20:06:15,2,0.036,0.03655318,75.27,BTC-30JUN23-50000-C,18835.24,buy,0.5,,
110,228438265,2022-09-06 20:56:32,0,0.0385,0.03765454,76.17,BTC-30JUN23-50000-C,18957.49,sell,3.0,,
111,228469630,2022-09-07 08:05:43,1,0.0385,0.03767654,76.73,BTC-30JUN23-50000-C,18835.05,sell,1.0,,
112,228470004,2022-09-07 08:13:09,1,0.0385,0.03767358,76.74,BTC-30JUN23-50000-C,18814.76,sell,1.0,,
113,228524023,2022-09-08 05:56:19,0,0.0405,0.03951366,76.41,BTC-30JUN23-50000-C,19296.09,sell,0.1,,
114,228719640,2022-09-09 19:54:19,0,0.0485,0.04679636,74.93,BTC-30JUN23-50000-C,21280.97,buy,500.0,,48925
115,228723143,2022-09-09 21:50:29,1,0.0485,0.04891122,74.99,BTC-30JUN23-50000-C,21289.38,sell,8.2,,
116,228728856,2022-09-09 23:19:48,0,0.05,0.0495217,75.32,BTC-30JUN23-50000-C,21387.52,buy,15.0,,
117,228759865,2022-09-10 09:26:02,1,0.05,0.05375179,75.46,BTC-30JUN23-50000-C,21362.67,sell,10.9,,
118,228759866,2022-09-10 09:26:02,1,0.05,0.05375179,75.46,BTC-30JUN23-50000-C,21362.67,sell,0.1,,
119,228771396,2022-09-10 18:31:58,0,0.052,0.05181825,76.29,BTC-30JUN23-50000-C,21378.71,buy,10.0,,
120,228816101,2022-09-11 15:17:30,2,0.0495,0.05251142,74.83,BTC-30JUN23-50000-C,21584.88,sell,0.1,,
121,228897978,2022-09-12 14:20:58,0,0.0525,0.05261504,73.87,BTC-30JUN23-50000-C,22459.83,sell,1.0,,
122,229073993,2022-09-13 17:36:11,2,0.0485,0.04940076,76.5,BTC-30JUN23-50000-C,20850.6,sell,2.9,,
123,229355791,2022-09-17 02:34:33,2,0.0365,0.03643672,73.85,BTC-30JUN23-50000-C,19902.9,buy,5.2,,
124,229363011,2022-09-17 08:39:22,3,0.0365,0.04304236,73.94,BTC-30JUN23-50000-C,19877.16,buy,0.1,,
125,229363080,2022-09-17 08:42:58,3,0.0365,0.04336801,73.9,BTC-30JUN23-50000-C,19885.35,buy,0.1,,
126,229370559,2022-09-17 14:33:35,2,0.0355,0.03460572,73.37,BTC-30JUN23-50000-C,19930.74,buy,0.1,,
127,229376187,2022-09-17 16:51:32,0,0.0365,0.03525766,73.34,BTC-30JUN23-50000-C,20123.69,buy,4.5,,
128,229379096,2022-09-17 18:41:11,1,0.0365,0.03605312,73.43,BTC-30JUN23-50000-C,20085.17,buy,0.1,,
129,229464852,2022-09-19 05:33:46,2,0.035,0.03386167,76.49,BTC-30JUN23-50000-C,18770.57,sell,1.0,,
130,229533688,2022-09-19 15:38:39,2,0.0325,0.03255444,74.35,BTC-30JUN23-50000-C,19088.45,sell,1.0,,
131,229813485,2022-09-21 19:23:52,2,0.0324,0.03229555,73.71,BTC-30JUN23-50000-C,19430.89,sell,13.0,BTC-CS-30JUN23-28000_50000,49964
132,229813839,2022-09-21 19:25:30,2,0.0307,0.03201839,72.89,BTC-30JUN23-50000-C,19383.95,buy,25.0,BTC-CS-30JUN23-28000_50000,49965
133,229814230,2022-09-21 19:26:38,2,0.03,0.03172208,72.66,BTC-30JUN23-50000-C,19310.94,buy,13.0,BTC-CS-30JUN23-28000_50000,49966
134,229816368,2022-09-21 19:35:10,0,0.031,0.03101404,73.6,BTC-30JUN23-50000-C,19184.52,sell,13.0,BTC-CS-30JUN23-28000_50000,49969
135,229816371,2022-09-21 19:35:10,2,0.0309,0.03101404,73.54,BTC-30JUN23-50000-C,19184.52,sell,25.0,BTC-CS-30JUN23-28000_50000,49970
136,229817335,2022-09-21 19:37:48,2,0.0291,0.03074533,72.63,BTC-30JUN23-50000-C,19147.22,sell,25.0,BTC-CS-30JUN23-28000_50000,49971
137,229821730,2022-09-21 20:00:18,0,0.032,0.03036172,74.62,BTC-30JUN23-50000-C,18990.13,buy,1.4,,
138,229963672,2022-09-23 01:24:20,2,0.031,0.03109243,73.29,BTC-30JUN23-50000-C,19360.48,buy,1.0,,
139,229987805,2022-09-23 08:44:07,2,0.0305,0.02997119,73.73,BTC-30JUN23-50000-C,19107.08,sell,0.2,,
140,229992404,2022-09-23 09:17:55,2,0.029,0.02947281,72.95,BTC-30JUN23-50000-C,19103.67,sell,0.1,,
141,230149128,2022-09-25 14:53:45,3,0.029,0.02806118,73.74,BTC-30JUN23-50000-C,18923.63,sell,0.1,,
142,230268427,2022-09-26 21:41:17,0,0.037,0.03250863,77.64,BTC-30JUN23-50000-C,19125.64,sell,0.4,,
143,230270575,2022-09-26 22:35:53,2,0.034,0.02997327,75.9,BTC-30JUN23-50000-C,19197.26,sell,8.5,,
144,230270576,2022-09-26 22:35:53,3,0.034,0.02997327,75.9,BTC-30JUN23-50000-C,19197.26,sell,1.5,,
145,230270871,2022-09-26 22:42:54,2,0.0325,0.03084205,75.18,BTC-30JUN23-50000-C,19159.14,buy,16.0,,
146,230270872,2022-09-26 22:42:54,0,0.033,0.03084205,75.46,BTC-30JUN23-50000-C,19159.14,buy,16.0,,
147,230270873,2022-09-26 22:42:54,0,0.035,0.03084205,76.53,BTC-30JUN23-50000-C,19159.14,buy,17.0,,
148,230270874,2022-09-26 22:42:54,0,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,3.0,,
149,230270875,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,4.0,,
150,230270876,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,3.0,,
151,230270877,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,16.0,,
152,230270878,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,36.0,,
153,230270879,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,16.0,,
154,230270880,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,18.0,,
155,230270881,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,16.0,,
156,230270882,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,15.0,,
157,230270883,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,16.0,,
158,230270884,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,15.0,,
159,230270889,2022-09-26 22:42:54,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,15.0,,
160,230270890,2022-09-26 22:42:55,1,0.04,0.03084205,79.09,BTC-30JUN23-50000-C,19159.14,sell,15.0,,
161,230270897,2022-09-26 22:42:55,1,0.04,0.03085586,79.09,BTC-30JUN23-50000-C,19159.89,sell,36.0,,
162,230270898,2022-09-26 22:42:55,1,0.04,0.03085586,79.09,BTC-30JUN23-50000-C,19159.89,sell,5.5,,
163,230270909,2022-09-26 22:42:55,1,0.04,0.03085586,79.09,BTC-30JUN23-50000-C,19159.89,sell,18.0,,
164,230270920,2022-09-26 22:42:56,1,0.04,0.03086547,79.09,BTC-30JUN23-50000-C,19159.42,sell,18.0,,
165,230270921,2022-09-26 22:42:56,1,0.04,0.03086547,79.09,BTC-30JUN23-50000-C,19159.42,sell,36.0,,
166,230270922,2022-09-26 22:42:57,1,0.04,0.03087745,79.09,BTC-30JUN23-50000-C,19159.43,sell,18.0,,
167,230270923,2022-09-26 22:42:57,1,0.04,0.03087745,79.09,BTC-30JUN23-50000-C,19159.43,sell,18.0,,
168,230270924,2022-09-26 22:42:58,1,0.04,0.03088875,79.09,BTC-30JUN23-50000-C,19159.32,sell,18.0,,
169,230270925,2022-09-26 22:42:58,1,0.04,0.03088875,79.09,BTC-30JUN23-50000-C,19159.32,sell,18.0,,
170,230270926,2022-09-26 22:42:58,1,0.04,0.03088875,79.09,BTC-30JUN23-50000-C,19159.32,sell,18.0,,
171,230270927,2022-09-26 22:42:59,1,0.04,0.03090097,79.09,BTC-30JUN23-50000-C,19159.4,sell,18.0,,
172,230270928,2022-09-26 22:42:59,1,0.04,0.03090097,79.09,BTC-30JUN23-50000-C,19159.4,sell,12.7,,
173,230270929,2022-09-26 22:42:59,1,0.04,0.03090097,79.09,BTC-30JUN23-50000-C,19159.4,sell,18.0,,
174,230270931,2022-09-26 22:43:00,1,0.04,0.03091315,79.09,BTC-30JUN23-50000-C,19159.5,sell,10.8,,
175,230459189,2022-09-28 04:43:37,2,0.0345,0.03307603,77.43,BTC-30JUN23-50000-C,18782.27,sell,0.5,,
176,230460574,2022-09-28 05:08:24,3,0.0345,0.03297497,77.58,BTC-30JUN23-50000-C,18749.47,sell,1.0,,
177,230475561,2022-09-28 08:06:30,2,0.032,0.03211784,76.12,BTC-30JUN23-50000-C,18756.2,buy,0.9,,
