trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,block_trade_id,combo_id,combo_trade_id
1,198515776,2022-01-10 13:22:33,1,0.573,0.56444384,86.49,BTC-30SEP22-20000-C,40908.23,buy,0.1,,,
2,200460767,2022-01-24 08:45:29,2,0.4955,0.49756655,76.07,BTC-30SEP22-20000-C,35047.5,sell,7.9,,,
3,200460878,2022-01-24 08:45:30,3,0.4955,0.49685252,76.14,BTC-30SEP22-20000-C,35015.87,sell,5.1,,,
4,209733923,2022-04-10 22:45:23,0,0.5495,0.5496649,80.45,BTC-30SEP22-20000-C,42044.4,sell,2.0,,,
5,212094152,2022-05-05 16:35:03,2,0.482,0.48247152,74.71,BTC-30SEP22-20000-C,36985.5,sell,0.4,,,
6,212094153,2022-05-05 16:35:03,3,0.482,0.48247152,74.71,BTC-30SEP22-20000-C,36985.5,sell,0.3,,,
7,212094154,2022-05-05 16:35:03,3,0.482,0.48247152,74.71,BTC-30SEP22-20000-C,36985.5,sell,0.2,,,
8,212094169,2022-05-05 16:35:03,3,0.482,0.48236587,75.03,BTC-30SEP22-20000-C,36974.67,sell,1.9,,,
9,212094171,2022-05-05 16:35:03,3,0.482,0.48236587,75.03,BTC-30SEP22-20000-C,36974.67,sell,0.3,,,
10,212094175,2022-05-05 16:35:03,3,0.482,0.48236587,75.03,BTC-30SEP22-20000-C,36974.67,sell,0.2,,,
11,212094176,2022-05-05 16:35:03,3,0.482,0.48236587,75.03,BTC-30SEP22-20000-C,36974.67,sell,0.3,,,
12,212094179,2022-05-05 16:35:04,3,0.482,0.48236587,75.03,BTC-30SEP22-20000-C,36974.67,sell,0.5,,,
13,212094180,2022-05-05 16:35:04,3,0.482,0.48236587,75.03,BTC-30SEP22-20000-C,36974.67,sell,0.2,,,
14,212094181,2022-05-05 16:35:04,3,0.482,0.48236587,75.15,BTC-30SEP22-20000-C,36968.86,sell,0.1,,,
15,212094182,2022-05-05 16:35:04,3,0.482,0.48236587,75.15,BTC-30SEP22-20000-C,36968.86,sell,0.1,,,
16,212094183,2022-05-05 16:35:04,3,0.482,0.48236587,75.15,BTC-30SEP22-20000-C,36968.86,sell,0.1,,,
17,212094196,2022-05-05 16:35:05,3,0.482,0.48214171,75.15,BTC-30SEP22-20000-C,36968.86,sell,0.4,,,
18,213016923,2022-05-09 22:28:40,2,0.3985,0.39836162,77.32,BTC-30SEP22-20000-C,30912.67,sell,5.3,,,
19,213016924,2022-05-09 22:28:40,3,0.3985,0.39836162,77.32,BTC-30SEP22-20000-C,30912.67,sell,0.1,,,
20,213016926,2022-05-09 22:28:41,0,0.399,0.39836162,77.83,BTC-30SEP22-20000-C,30905.48,sell,3.6,,,
21,213019796,2022-05-09 22:47:22,0,0.404,0.40340203,77.71,BTC-30SEP22-20000-C,31246.54,sell,9.7,,,
22,213019808,2022-05-09 22:47:23,0,0.4045,0.40339348,78.17,BTC-30SEP22-20000-C,31242.39,sell,5.3,,,
23,213756090,2022-05-11 23:02:17,2,0.3785,0.37928141,87.43,BTC-30SEP22-20000-C,28780.79,buy,0.4,,,
24,213756091,2022-05-11 23:02:17,3,0.3785,0.37928141,87.43,BTC-30SEP22-20000-C,28780.79,buy,0.2,,,
25,213756092,2022-05-11 23:02:17,3,0.3785,0.37928141,87.43,BTC-30SEP22-20000-C,28780.79,buy,0.3,,,
26,213756093,2022-05-11 23:02:19,3,0.3785,0.37918528,87.49,BTC-30SEP22-20000-C,28781.85,buy,0.3,,,
