trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,combo_id,block_trade_id,liquidation
1,185192763,2021-10-19 11:36:45,1,0.5325,0.53367484,94.01,BTC-30SEP22-40000-C,62243.93,buy,0.3,,,
2,185192901,2021-10-19 11:42:34,0,0.535,0.5333523,95.15,BTC-30SEP22-40000-C,62247.87,sell,0.3,,,
3,193871186,2021-12-06 19:05:19,2,0.42,0.41263377,92.12,BTC-30SEP22-40000-C,49230.98,sell,0.1,,,
4,194544868,2021-12-10 18:42:14,2,0.388,0.40286676,84.44,BTC-30SEP22-40000-C,48022.17,sell,8.0,,,
5,194854582,2021-12-13 14:11:36,0,0.401,0.40247126,89.93,BTC-30SEP22-40000-C,48210.66,sell,0.1,,,
6,194854583,2021-12-13 14:11:36,1,0.401,0.40247126,89.93,BTC-30SEP22-40000-C,48210.66,sell,0.1,,,
7,196796236,2021-12-28 14:39:12,2,0.366,0.36667199,78.75,BTC-30SEP22-40000-C,48576.0,sell,6.0,,,
8,197268294,2021-12-31 08:19:08,2,0.345,0.35027101,76.19,BTC-30SEP22-40000-C,47198.02,buy,5.0,,,
9,197903351,2022-01-05 21:39:47,2,0.317,0.31265719,77.82,BTC-30SEP22-40000-C,43598.8,buy,1.0,,,
10,197906728,2022-01-05 21:55:38,2,0.3125,0.31352925,76.04,BTC-30SEP22-40000-C,43638.01,sell,1.9,,,
11,198032465,2022-01-06 11:09:51,2,0.311,0.30655507,78.36,BTC-30SEP22-40000-C,42886.35,sell,0.1,,,
12,198032467,2022-01-06 11:10:00,3,0.311,0.30657362,78.34,BTC-30SEP22-40000-C,42887.01,sell,0.1,,,
13,198199234,2022-01-07 10:00:10,2,0.2985,0.29895898,75.8,BTC-30SEP22-40000-C,42398.77,buy,9.0,,,
14,198205781,2022-01-07 11:29:18,2,0.294,0.29486346,75.03,BTC-30SEP22-40000-C,42234.29,sell,6.0,,,
15,198235438,2022-01-07 14:32:43,2,0.2865,0.28802522,73.85,BTC-30SEP22-40000-C,41747.74,sell,1.0,,,
16,198241337,2022-01-07 15:07:14,0,0.2895,0.28673128,75.37,BTC-30SEP22-40000-C,41653.34,buy,6.0,,,
17,198241338,2022-01-07 15:07:14,1,0.2895,0.28673128,75.37,BTC-30SEP22-40000-C,41653.34,buy,3.1,,,
18,198241339,2022-01-07 15:07:14,1,0.2895,0.28673128,75.37,BTC-30SEP22-40000-C,41653.34,buy,8.0,,,
19,198241728,2022-01-07 15:08:55,2,0.289,0.2867937,75.2,BTC-30SEP22-40000-C,41624.64,buy,6.0,,,
20,198294194,2022-01-07 19:43:06,2,0.287,0.28630263,74.42,BTC-30SEP22-40000-C,41793.55,sell,1.0,,,
21,198311442,2022-01-08 01:34:23,0,0.289,0.289591,74.2,BTC-30SEP22-40000-C,42005.31,sell,0.7,,,
22,198359452,2022-01-08 18:01:05,2,0.278,0.28007636,73.56,BTC-30SEP22-40000-C,41020.21,sell,8.0,,,
23,198486271,2022-01-10 07:13:13,0,0.2895,0.29052769,74.67,BTC-30SEP22-40000-C,42076.27,sell,0.4,,,
24,198503722,2022-01-10 11:54:48,2,0.281,0.27997944,73.79,BTC-30SEP22-40000-C,41538.4,sell,0.1,,,
25,198504389,2022-01-10 12:02:27,3,0.281,0.28061848,73.63,BTC-30SEP22-40000-C,41577.58,sell,0.1,,,
26,198504764,2022-01-10 12:06:13,2,0.2805,0.27982922,73.69,BTC-30SEP22-40000-C,41511.53,sell,0.3,,,
27,198504850,2022-01-10 12:07:56,3,0.2805,0.27992786,73.68,BTC-30SEP22-40000-C,41522.07,sell,1.4,,,
28,198505845,2022-01-10 12:17:34,2,0.279,0.27897409,73.55,BTC-30SEP22-40000-C,41381.89,sell,1.1,,,
29,198508088,2022-01-10 12:46:01,2,0.278,0.27774845,73.56,BTC-30SEP22-40000-C,41294.22,sell,8.0,,,
30,198511768,2022-01-10 13:00:13,2,0.274,0.2741642,73.33,BTC-30SEP22-40000-C,40964.54,buy,3.5,,,
31,198547357,2022-01-10 14:39:06,2,0.2625,0.2640563,73.47,BTC-30SEP22-40000-C,39737.38,sell,11.0,,,
32,198547358,2022-01-10 14:39:06,3,0.2625,0.2640563,73.47,BTC-30SEP22-40000-C,39737.38,sell,4.9,,,
33,199049879,2022-01-14 10:53:36,0,0.28,0.28064177,71.54,BTC-30SEP22-40000-C,42306.49,sell,0.1,,,
34,199057138,2022-01-14 11:18:29,2,0.2775,0.27634536,71.9,BTC-30SEP22-40000-C,42000.46,sell,1.0,,,
35,199057139,2022-01-14 11:18:34,2,0.277,0.27636863,71.73,BTC-30SEP22-40000-C,42000.77,sell,1.0,,,
36,199057191,2022-01-14 11:19:07,2,0.2765,0.27632847,71.62,BTC-30SEP22-40000-C,41972.23,sell,1.0,,,
