trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,block_trade_id,combo_id,combo_trade_id,liquidation
1,197928603,2022-01-05 22:57:37,1,0.629,0.60924069,93.31,BTC-30DEC22-20000-C,43273.57,buy,0.1,,,,
2,198159722,2022-01-07 07:15:35,2,0.599,0.58922908,84.01,BTC-30DEC22-20000-C,41304.58,buy,0.1,,,,
3,198160387,2022-01-07 07:21:00,3,0.599,0.58992203,83.65,BTC-30DEC22-20000-C,41426.6,buy,0.1,,,,
4,200016648,2022-01-22 09:48:13,2,0.52,0.51962032,77.39,BTC-30DEC22-20000-C,34892.33,sell,0.2,,,,
5,203826066,2022-02-18 10:07:05,0,0.563,0.56433311,74.16,BTC-30DEC22-20000-C,40814.74,buy,10.0,,,,
6,203826109,2022-02-18 10:07:51,1,0.563,0.56425249,74.18,BTC-30DEC22-20000-C,40802.43,buy,10.4,,,,
7,209941793,2022-04-12 12:30:11,2,0.5515,0.55082878,77.68,BTC-30DEC22-20000-C,40630.08,buy,0.1,,,,
8,211878876,2022-05-04 09:18:52,2,0.5235,0.52334174,72.99,BTC-30DEC22-20000-C,38951.57,buy,0.1,,,,
9,212086746,2022-05-05 16:12:58,2,0.499,0.50014459,71.0,BTC-30DEC22-20000-C,36969.04,buy,2.0,,,,
10,212770666,2022-05-09 11:54:05,2,0.445,0.4470343,68.43,BTC-30DEC22-20000-C,33031.75,buy,1.0,,,,
11,212815440,2022-05-09 14:39:51,2,0.4405,0.44204871,69.39,BTC-30DEC22-20000-C,32518.32,sell,0.1,,,,
12,212815484,2022-05-09 14:39:52,3,0.4405,0.44176353,69.39,BTC-30DEC22-20000-C,32518.32,sell,0.3,,,,
13,212815490,2022-05-09 14:39:52,3,0.4405,0.44176353,69.39,BTC-30DEC22-20000-C,32518.32,sell,0.9,,,,
14,212815491,2022-05-09 14:39:52,3,0.4405,0.44176353,69.39,BTC-30DEC22-20000-C,32518.32,sell,0.4,,,,
15,212815496,2022-05-09 14:39:52,3,0.4405,0.44176353,69.39,BTC-30DEC22-20000-C,32518.32,sell,0.5,,,,
16,212866019,2022-05-09 17:04:35,2,0.4265,0.42795605,70.42,BTC-30DEC22-20000-C,31430.42,sell,8.0,,,,
17,212948823,2022-05-09 19:17:10,2,0.421,0.42094107,71.86,BTC-30DEC22-20000-C,30879.27,buy,0.1,,,,
18,215532551,2022-05-24 18:02:39,2,0.408,0.40806777,80.21,BTC-30DEC22-20000-C,29304.49,buy,2.0,,,,
19,218086997,2022-06-13 10:31:21,2,0.322,0.31690446,81.97,BTC-30DEC22-20000-C,24241.12,buy,0.5,,,,
20,218275631,2022-06-13 19:29:17,2,0.292,0.29151108,78.33,BTC-30DEC22-20000-C,23107.83,sell,0.9,,,,
21,218276705,2022-06-13 19:32:09,3,0.292,0.29166668,78.4,BTC-30DEC22-20000-C,23098.12,sell,0.1,,,,
