trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,combo_id,block_trade_id,amount,combo_trade_id,liquidation
1,197180222,2021-12-30 19:47:16,1,0.5,0.50025474,77.33,BTC-30DEC22-30000-C,47822.91,buy,,,2.0,,
2,197180907,2021-12-30 19:53:48,1,0.5,0.49911288,77.72,BTC-30DEC22-30000-C,47715.98,buy,,,1.0,,
3,198054146,2022-01-06 15:06:43,2,0.453,0.45684495,75.51,BTC-30DEC22-30000-C,42714.21,buy,,,0.4,,
4,198824053,2022-01-12 10:35:34,2,0.447,0.44851278,74.78,BTC-30DEC22-30000-C,42844.62,buy,,,10.0,,
5,198824085,2022-01-12 10:36:41,2,0.446,0.44765386,74.41,BTC-30DEC22-30000-C,42839.5,buy,,,9.3,,
6,198824086,2022-01-12 10:36:52,3,0.446,0.44754264,74.4,BTC-30DEC22-30000-C,42843.09,buy,,,3.0,,
7,199909516,2022-01-21 23:21:33,2,0.374,0.37412222,73.34,BTC-30DEC22-30000-C,36645.33,buy,,,0.1,,
8,201054140,2022-01-26 17:53:35,0,0.38,0.39090194,70.35,BTC-30DEC22-30000-C,38112.4,buy,,,0.2,,
9,201258971,2022-01-27 14:11:43,2,0.377,0.37719685,74.16,BTC-30DEC22-30000-C,36812.38,sell,,,0.2,,
10,202003658,2022-02-03 21:02:09,2,0.3715,0.37273477,73.28,BTC-30DEC22-30000-C,36796.2,sell,,,1.6,,
11,202599353,2022-02-08 14:25:53,0,0.4375,0.43537739,73.96,BTC-30DEC22-30000-C,43721.35,sell,,,0.4,,
12,203709584,2022-02-17 13:21:06,2,0.416,0.41638512,69.22,BTC-30DEC22-30000-C,43028.2,sell,,,0.1,,
13,203993530,2022-02-20 10:26:53,2,0.374,0.36553055,71.95,BTC-30DEC22-30000-C,38359.93,sell,,,0.1,,
14,204451578,2022-02-23 20:08:14,2,0.36,0.36148026,70.46,BTC-30DEC22-30000-C,37436.75,sell,,,0.7,,
15,205238800,2022-02-28 16:03:19,0,0.395,0.39513074,71.06,BTC-30DEC22-30000-C,41145.63,buy,,,0.1,,
16,207808883,2022-03-22 02:02:40,2,0.394,0.39181136,72.93,BTC-30DEC22-30000-C,41338.76,buy,,,1.4,,
17,207808885,2022-03-22 02:02:40,3,0.394,0.39181136,72.93,BTC-30DEC22-30000-C,41338.76,buy,,,1.4,,
18,208636961,2022-03-29 06:11:15,0,0.448,0.44937022,68.9,BTC-30DEC22-30000-C,47660.12,buy,,,0.5,,
19,208814121,2022-03-31 14:00:54,2,0.44,0.43982022,69.73,BTC-30DEC22-30000-C,46717.97,sell,,,0.5,,
20,208837204,2022-03-31 16:33:04,2,0.43,0.43048926,68.63,BTC-30DEC22-30000-C,45797.82,sell,,,0.5,,
21,208882792,2022-04-01 02:25:45,2,0.42,0.4197015,69.6,BTC-30DEC22-30000-C,44641.73,sell,,,0.5,,
22,209418122,2022-04-06 17:04:26,2,0.41,0.41055357,70.75,BTC-30DEC22-30000-C,43517.27,sell,,,0.5,,
23,211878803,2022-05-04 09:16:26,2,0.332,0.33312545,65.11,BTC-30DEC22-30000-C,38920.39,buy,,,0.1,,
24,212395911,2022-05-07 06:35:51,2,0.29,0.28927196,64.22,BTC-30DEC22-30000-C,35832.47,sell,,,0.5,,
25,212770663,2022-05-09 11:54:04,2,0.2495,0.25169027,63.19,BTC-30DEC22-30000-C,33031.75,buy,,,1.0,,
26,212775619,2022-05-09 12:15:34,0,0.25,0.24999815,63.86,BTC-30DEC22-30000-C,32906.27,buy,,,0.1,,
27,212845211,2022-05-09 16:25:47,2,0.249,0.24715873,65.83,BTC-30DEC22-30000-C,32372.42,sell,,,1.0,,
28,212919637,2022-05-09 18:33:32,2,0.23,0.22902353,66.76,BTC-30DEC22-30000-C,30722.58,sell,,,2.0,,
29,212928739,2022-05-09 18:43:22,0,0.2305,0.22653487,68.54,BTC-30DEC22-30000-C,30393.47,buy,,,1.0,,
30,213023880,2022-05-09 23:10:16,2,0.238,0.23694151,67.72,BTC-30DEC22-30000-C,31102.49,sell,,,0.1,,
31,213024210,2022-05-09 23:11:31,2,0.237,0.23545831,67.9,BTC-30DEC22-30000-C,31012.46,sell,,,0.1,,
32,213070750,2022-05-10 00:47:45,0,0.238,0.23486063,69.58,BTC-30DEC22-30000-C,30745.7,buy,,,0.1,,
33,213140567,2022-05-10 06:20:54,0,0.255,0.24981235,68.9,BTC-30DEC22-30000-C,32247.38,sell,,,1.0,,
34,213251489,2022-05-10 16:28:16,2,0.231,0.23053639,65.73,BTC-30DEC22-30000-C,31171.35,buy,,,1.0,,
35,213251493,2022-05-10 16:28:16,3,0.231,0.23053639,65.73,BTC-30DEC22-30000-C,31171.35,buy,,,0.7,,
36,213251494,2022-05-10 16:28:16,3,0.231,0.23053639,65.73,BTC-30DEC22-30000-C,31171.35,buy,,,0.3,,
37,213373762,2022-05-11 07:36:00,2,0.226,0.22493558,67.37,BTC-30DEC22-30000-C,30388.67,sell,,,0.1,,
38,213373771,2022-05-11 07:36:00,3,0.226,0.22493558,67.37,BTC-30DEC22-30000-C,30388.67,sell,,,0.1,,
39,213373773,2022-05-11 07:36:00,3,0.226,0.22493558,67.37,BTC-30DEC22-30000-C,30388.67,sell,,,0.1,,
40,213373776,2022-05-11 07:36:00,3,0.226,0.22493558,67.37,BTC-30DEC22-30000-C,30388.67,sell,,,0.1,,
41,213373777,2022-05-11 07:36:00,3,0.226,0.22493558,67.37,BTC-30DEC22-30000-C,30388.67,sell,,,0.1,,
42,213373778,2022-05-11 07:36:00,3,0.226,0.22493558,67.37,BTC-30DEC22-30000-C,30388.67,sell,,,0.1,,
43,213373788,2022-05-11 07:36:00,3,0.226,0.22493558,67.37,BTC-30DEC22-30000-C,30388.67,sell,,,0.1,,
44,213373789,2022-05-11 07:36:01,3,0.226,0.22493558,67.37,BTC-30DEC22-30000-C,30388.67,sell,,,0.1,,
45,213373790,2022-05-11 07:36:01,3,0.226,0.224787,67.42,BTC-30DEC22-30000-C,30377.41,sell,,,0.1,,
46,213373791,2022-05-11 07:36:01,3,0.226,0.224787,67.41,BTC-30DEC22-30000-C,30377.41,sell,,,0.1,,
47,213496807,2022-05-11 13:13:38,2,0.223,0.2214391,71.48,BTC-30DEC22-30000-C,29255.04,sell,,,1.0,,
48,213498911,2022-05-11 13:17:16,2,0.2221,0.22094706,71.29,BTC-30DEC22-30000-C,29305.89,sell,,38858,50.0,,
49,213499398,2022-05-11 13:18:21,0,0.2242,0.22359562,71.26,BTC-30DEC22-30000-C,29463.7,sell,,38859,100.0,,
50,213523685,2022-05-11 13:45:04,0,0.237,0.2389472,70.32,BTC-30DEC22-30000-C,30549.72,buy,,,5.5,,
51,213523695,2022-05-11 13:45:04,1,0.237,0.2389472,70.32,BTC-30DEC22-30000-C,30549.72,buy,,,0.2,,
52,213818966,2022-05-12 04:06:48,2,0.218,0.2180684,74.58,BTC-30DEC22-30000-C,28145.93,buy,,,0.1,,
53,213824327,2022-05-12 04:19:41,0,0.2215,0.2173056,76.91,BTC-30DEC22-30000-C,27862.22,buy,,,1.2,,
54,213824332,2022-05-12 04:19:41,1,0.2215,0.2173056,76.91,BTC-30DEC22-30000-C,27862.22,buy,,,1.4,,
55,213846441,2022-05-12 04:39:46,0,0.229,0.22028288,80.26,BTC-30DEC22-30000-C,27683.34,buy,,,2.0,,
56,213858646,2022-05-12 05:10:07,2,0.217,0.21658829,79.14,BTC-30DEC22-30000-C,27042.68,sell,,,1.0,,
57,214071386,2022-05-12 11:12:50,0,0.2355,0.23638087,79.95,BTC-30DEC22-30000-C,28341.11,buy,,,10.0,,
58,214072116,2022-05-12 11:16:55,2,0.235,0.23723827,79.45,BTC-30DEC22-30000-C,28392.08,buy,,,10.0,,
59,214072198,2022-05-12 11:17:16,3,0.235,0.23764457,79.27,BTC-30DEC22-30000-C,28453.06,buy,,,10.0,,
60,214072224,2022-05-12 11:17:28,3,0.235,0.23711137,79.4,BTC-30DEC22-30000-C,28452.94,buy,,,10.0,,
61,214072243,2022-05-12 11:17:37,3,0.235,0.23707215,79.42,BTC-30DEC22-30000-C,28459.68,buy,,,10.0,,
62,214072288,2022-05-12 11:17:57,3,0.235,0.23697241,79.46,BTC-30DEC22-30000-C,28467.14,buy,,,0.3,,
63,214072289,2022-05-12 11:17:57,3,0.235,0.23697241,79.46,BTC-30DEC22-30000-C,28467.14,buy,,,0.4,,
64,214072290,2022-05-12 11:17:57,3,0.235,0.23697241,79.46,BTC-30DEC22-30000-C,28467.14,buy,,,0.2,,
65,214072291,2022-05-12 11:17:57,3,0.235,0.23697241,79.46,BTC-30DEC22-30000-C,28467.14,buy,,,0.2,,
66,214072292,2022-05-12 11:17:57,3,0.235,0.23697241,79.46,BTC-30DEC22-30000-C,28467.14,buy,,,0.5,,
67,214072293,2022-05-12 11:17:57,3,0.235,0.23697241,79.46,BTC-30DEC22-30000-C,28467.81,buy,,,0.1,,
68,214072294,2022-05-12 11:17:58,3,0.235,0.2369883,79.45,BTC-30DEC22-30000-C,28470.23,buy,,,0.2,,
69,214072295,2022-05-12 11:17:58,3,0.235,0.2369883,79.45,BTC-30DEC22-30000-C,28470.23,buy,,,0.1,,
70,214072297,2022-05-12 11:17:58,3,0.235,0.2369883,79.45,BTC-30DEC22-30000-C,28470.23,buy,,,0.2,,
71,214072298,2022-05-12 11:17:58,3,0.235,0.2369883,79.45,BTC-30DEC22-30000-C,28470.23,buy,,,0.2,,
72,214072299,2022-05-12 11:17:58,3,0.235,0.2369883,79.45,BTC-30DEC22-30000-C,28470.23,buy,,,7.6,,
73,214072506,2022-05-12 11:19:02,0,0.2355,0.2373233,79.46,BTC-30DEC22-30000-C,28500.42,buy,,,10.0,,
74,214072851,2022-05-12 11:19:29,1,0.2355,0.23848262,79.02,BTC-30DEC22-30000-C,28576.18,buy,,,0.4,,
75,214072852,2022-05-12 11:19:29,1,0.2355,0.23848262,79.02,BTC-30DEC22-30000-C,28576.18,buy,,,9.6,,
76,214073012,2022-05-12 11:19:42,1,0.2355,0.23829534,79.06,BTC-30DEC22-30000-C,28564.2,buy,,,10.0,,
77,214074954,2022-05-12 11:24:01,0,0.239,0.24153905,78.98,BTC-30DEC22-30000-C,28862.1,buy,,,0.3,,
78,214074955,2022-05-12 11:24:01,1,0.239,0.24153905,78.98,BTC-30DEC22-30000-C,28862.1,buy,,,0.2,,
79,214074959,2022-05-12 11:24:01,1,0.239,0.24153905,78.98,BTC-30DEC22-30000-C,28862.1,buy,,,0.4,,
80,214074960,2022-05-12 11:24:01,1,0.239,0.24153905,78.98,BTC-30DEC22-30000-C,28862.1,buy,,,0.1,,
81,214083148,2022-05-12 11:54:03,2,0.2325,0.23064742,79.02,BTC-30DEC22-30000-C,28338.2,buy,,,9.0,,
82,214089675,2022-05-12 12:17:00,2,0.227,0.22945922,78.51,BTC-30DEC22-30000-C,27998.48,buy,,,3.0,,
83,214089676,2022-05-12 12:17:00,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,1.2,,
84,214089677,2022-05-12 12:17:00,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.1,,
85,214089678,2022-05-12 12:17:00,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.3,,
86,214089679,2022-05-12 12:17:00,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.2,,
87,214089680,2022-05-12 12:17:00,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.4,,
88,214089686,2022-05-12 12:17:00,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.3,,
89,214089687,2022-05-12 12:17:00,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.1,,
90,214089688,2022-05-12 12:17:00,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.2,,
91,214089689,2022-05-12 12:17:00,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.2,,
92,214089690,2022-05-12 12:17:01,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.3,,
93,214089691,2022-05-12 12:17:01,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.5,,
94,214089692,2022-05-12 12:17:01,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.4,,
95,214089694,2022-05-12 12:17:01,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.3,,
96,214089695,2022-05-12 12:17:01,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.5,,
97,214089696,2022-05-12 12:17:01,3,0.227,0.22944553,78.53,BTC-30DEC22-30000-C,27995.77,buy,,,0.4,,
98,214089916,2022-05-12 12:17:35,3,0.227,0.22924245,78.52,BTC-30DEC22-30000-C,27991.2,buy,,,0.5,,
99,214089917,2022-05-12 12:17:35,3,0.227,0.22924245,78.52,BTC-30DEC22-30000-C,27991.2,buy,,,0.1,,
100,214089918,2022-05-12 12:17:35,3,0.227,0.22924245,78.52,BTC-30DEC22-30000-C,27991.2,buy,,,0.4,,
101,214089919,2022-05-12 12:17:35,3,0.227,0.22924245,78.52,BTC-30DEC22-30000-C,27991.2,buy,,,0.4,,
102,214089920,2022-05-12 12:17:35,3,0.227,0.2293051,78.52,BTC-30DEC22-30000-C,27991.2,buy,,,0.1,,
103,214089922,2022-05-12 12:17:35,3,0.227,0.2293051,78.52,BTC-30DEC22-30000-C,27991.2,buy,,,0.1,,
104,214090048,2022-05-12 12:17:52,0,0.228,0.22996851,78.64,BTC-30DEC22-30000-C,28059.27,buy,,,2.0,,
105,214090051,2022-05-12 12:17:52,1,0.228,0.22996851,78.64,BTC-30DEC22-30000-C,28059.27,buy,,,1.9,,
106,214090056,2022-05-12 12:17:52,1,0.228,0.22996851,78.64,BTC-30DEC22-30000-C,28059.27,buy,,,1.5,,
107,214090057,2022-05-12 12:17:52,1,0.228,0.22996851,78.64,BTC-30DEC22-30000-C,28059.27,buy,,,1.1,,
108,214090058,2022-05-12 12:17:52,1,0.228,0.22995823,78.64,BTC-30DEC22-30000-C,28059.27,buy,,,0.9,,
109,214090059,2022-05-12 12:17:52,1,0.228,0.22995823,78.64,BTC-30DEC22-30000-C,28059.27,buy,,,0.7,,
110,214090060,2022-05-12 12:17:52,1,0.228,0.22995823,78.64,BTC-30DEC22-30000-C,28059.27,buy,,,0.4,,
111,214090088,2022-05-12 12:17:56,1,0.228,0.22988915,78.66,BTC-30DEC22-30000-C,28058.52,buy,,,1.0,,
112,214090093,2022-05-12 12:17:59,1,0.228,0.22987617,78.66,BTC-30DEC22-30000-C,28061.31,buy,,,0.5,,
113,214090151,2022-05-12 12:18:22,1,0.228,0.22970264,78.71,BTC-30DEC22-30000-C,28055.26,buy,,,0.1,,
114,214090152,2022-05-12 12:18:23,1,0.228,0.2297351,78.7,BTC-30DEC22-30000-C,28058.29,buy,,,0.2,,
115,214090153,2022-05-12 12:18:23,1,0.228,0.2297351,78.7,BTC-30DEC22-30000-C,28058.29,buy,,,0.1,,
116,214090154,2022-05-12 12:18:23,1,0.228,0.2297351,78.7,BTC-30DEC22-30000-C,28058.29,buy,,,0.2,,
117,214090155,2022-05-12 12:18:23,1,0.228,0.2297351,78.7,BTC-30DEC22-30000-C,28058.29,buy,,,0.1,,
118,214090156,2022-05-12 12:18:23,1,0.228,0.2297351,78.7,BTC-30DEC22-30000-C,28058.29,buy,,,0.1,,
119,214090157,2022-05-12 12:18:23,1,0.228,0.2297351,78.7,BTC-30DEC22-30000-C,28058.29,buy,,,0.2,,
120,214090282,2022-05-12 12:19:02,0,0.2285,0.22985606,78.77,BTC-30DEC22-30000-C,28094.69,buy,,,1.0,,
121,214090299,2022-05-12 12:19:10,2,0.228,0.22942287,78.74,BTC-30DEC22-30000-C,28059.05,sell,,,5.0,,
122,214090360,2022-05-12 12:19:25,3,0.228,0.22919102,78.81,BTC-30DEC22-30000-C,28029.4,buy,,,3.0,,
123,214090656,2022-05-12 12:21:23,3,0.228,0.22906309,78.71,BTC-30DEC22-30000-C,28032.03,buy,,,10.0,,
124,214091346,2022-05-12 12:26:09,2,0.2265,0.22623036,78.91,BTC-30DEC22-30000-C,27883.9,buy,,,10.0,,
125,214093699,2022-05-12 12:35:01,0,0.228,0.22877757,78.84,BTC-30DEC22-30000-C,28024.78,buy,,,1.0,,
126,214093807,2022-05-12 12:35:30,0,0.2285,0.22932753,78.79,BTC-30DEC22-30000-C,28090.6,buy,,,1.0,,
127,214093861,2022-05-12 12:36:13,2,0.228,0.22900415,78.71,BTC-30DEC22-30000-C,28084.12,sell,,,1.0,,
128,214093900,2022-05-12 12:36:30,2,0.2275,0.22839122,78.72,BTC-30DEC22-30000-C,28038.85,sell,,,1.0,,
129,214094414,2022-05-12 12:37:58,0,0.229,0.22968248,78.62,BTC-30DEC22-30000-C,28147.67,buy,,,6.0,,
130,214097153,2022-05-12 12:47:26,0,0.231,0.23045334,78.8,BTC-30DEC22-30000-C,28293.53,buy,,,1.6,,
131,214097158,2022-05-12 12:47:26,1,0.231,0.23045334,78.79,BTC-30DEC22-30000-C,28295.67,buy,,,1.6,,
132,214099755,2022-05-12 12:58:15,2,0.23,0.23081168,78.13,BTC-30DEC22-30000-C,28328.42,buy,,,2.0,,
133,214101161,2022-05-12 13:06:07,3,0.23,0.22855821,78.89,BTC-30DEC22-30000-C,28159.2,buy,,,6.8,,
134,214105466,2022-05-12 13:28:21,0,0.2315,0.23190553,78.16,BTC-30DEC22-30000-C,28456.25,buy,,,1.0,,
135,214105471,2022-05-12 13:28:21,1,0.2315,0.23190553,78.16,BTC-30DEC22-30000-C,28456.25,sell,,,10.0,,
136,214105473,2022-05-12 13:28:21,2,0.231,0.23190553,78.0,BTC-30DEC22-30000-C,28456.25,sell,,,6.1,,
137,214134248,2022-05-12 14:43:28,2,0.23,0.2322911,76.52,BTC-30DEC22-30000-C,28709.0,buy,,,10.0,,
138,214164960,2022-05-12 16:31:35,0,0.242,0.24161581,76.66,BTC-30DEC22-30000-C,29674.55,buy,,,0.6,,
139,214247168,2022-05-13 02:31:28,2,0.2395,0.23852532,74.03,BTC-30DEC22-30000-C,30021.99,buy,,,0.1,,
