trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,combo_id,block_trade_id,amount,combo_trade_id,liquidation
1,322049071,2024-10-24 08:32:07,1,0.0185,0.02029845,57.46,BTC-31JAN25-100000-C,67135.13,buy,0.1,,,0.1,,
2,322054765,2024-10-24 09:52:16,0,0.019,0.01951521,58.56,BTC-31JAN25-100000-C,66711.73,buy,0.1,,,0.1,,
3,322092009,2024-10-24 15:50:18,0,0.0215,0.0218203,59.19,BTC-31JAN25-100000-C,67692.87,buy,0.1,,,0.1,,
4,322119823,2024-10-24 20:41:52,0,0.0225,0.02275475,59.49,BTC-31JAN25-100000-C,68097.83,buy,0.1,,,0.1,,
5,322133998,2024-10-24 22:16:10,0,0.0235,0.02396594,59.59,BTC-31JAN25-100000-C,68475.44,sell,0.2,,,0.2,,
6,322134061,2024-10-24 22:16:42,1,0.0235,0.02398297,59.58,BTC-31JAN25-100000-C,68476.38,sell,0.1,,,0.1,,
7,322149333,2024-10-25 01:12:14,2,0.0215,0.02174917,59.09,BTC-31JAN25-100000-C,67850.05,sell,11.0,,,11.0,,
8,322149334,2024-10-25 01:12:14,3,0.0215,0.02174917,59.09,BTC-31JAN25-100000-C,67850.05,buy,4.0,,,4.0,,
9,322149409,2024-10-25 01:13:41,2,0.021,0.02175696,58.67,BTC-31JAN25-100000-C,67854.58,sell,0.3,,,0.3,,
10,322152472,2024-10-25 01:58:08,3,0.021,0.02145689,58.63,BTC-31JAN25-100000-C,67905.11,sell,2.0,,,2.0,,
11,322158086,2024-10-25 03:37:27,0,0.0215,0.02161324,58.76,BTC-31JAN25-100000-C,68085.02,sell,0.1,,,0.1,,
12,322161820,2024-10-25 04:28:49,2,0.0205,0.02094947,58.63,BTC-31JAN25-100000-C,67676.06,sell,1.8,,,1.8,,
13,322161821,2024-10-25 04:28:49,3,0.0205,0.02094947,58.63,BTC-31JAN25-100000-C,67676.06,buy,0.1,,,0.1,,
14,322161822,2024-10-25 04:28:49,3,0.0205,0.02094947,58.63,BTC-31JAN25-100000-C,67676.06,buy,0.1,,,0.1,,
15,322161823,2024-10-25 04:28:49,3,0.0205,0.02094947,58.63,BTC-31JAN25-100000-C,67676.06,buy,3.0,,,3.0,,
16,322161831,2024-10-25 04:28:57,3,0.0205,0.020963,58.62,BTC-31JAN25-100000-C,67684.0,buy,5.0,,,5.0,,
17,322164219,2024-10-25 05:04:28,0,0.021,0.02081005,59.05,BTC-31JAN25-100000-C,67685.11,buy,0.1,,,0.1,,
18,322165191,2024-10-25 05:17:19,1,0.021,0.02075153,59.15,BTC-31JAN25-100000-C,67606.21,sell,0.1,,,0.1,,
19,322187256,2024-10-25 08:21:05,2,0.0195,0.02047175,58.15,BTC-31JAN25-100000-C,67480.03,sell,0.1,,,0.1,,
20,322188026,2024-10-25 08:26:51,3,0.0195,0.02041712,58.07,BTC-31JAN25-100000-C,67543.75,sell,0.1,,,0.1,,
21,322188915,2024-10-25 08:39:26,3,0.0195,0.01985054,57.93,BTC-31JAN25-100000-C,67626.75,buy,2.7,,,2.7,,
22,322188918,2024-10-25 08:39:28,3,0.0195,0.01983702,57.93,BTC-31JAN25-100000-C,67626.29,buy,2.4,,,2.4,,
23,322193666,2024-10-25 09:41:41,3,0.0195,0.01962034,58.03,BTC-31JAN25-100000-C,67542.48,buy,0.5,,,0.5,,
24,322193963,2024-10-25 09:49:01,3,0.0195,0.01958582,57.98,BTC-31JAN25-100000-C,67578.79,buy,0.5,,,0.5,,
25,322193964,2024-10-25 09:49:01,3,0.0195,0.01958582,57.98,BTC-31JAN25-100000-C,67578.79,buy,0.1,,,0.1,,
26,322199486,2024-10-25 11:04:51,0,0.02,0.01973316,58.05,BTC-31JAN25-100000-C,67815.54,buy,0.1,,,0.1,,
27,322200271,2024-10-25 11:15:19,2,0.0195,0.02012097,57.51,BTC-31JAN25-100000-C,67883.47,sell,0.4,,,0.4,,
28,322203979,2024-10-25 12:03:46,0,0.0205,0.02058523,57.89,BTC-31JAN25-100000-C,68185.92,buy,0.5,,,0.5,,
29,322210808,2024-10-25 13:31:06,1,0.0205,0.02058258,58.16,BTC-31JAN25-100000-C,68051.3,buy,0.1,,,0.1,,
30,322214076,2024-10-25 13:49:22,1,0.0205,0.02043645,58.33,BTC-31JAN25-100000-C,67933.03,buy,0.1,,,0.1,,
31,322221829,2024-10-25 14:16:29,0,0.0215,0.02154092,58.28,BTC-31JAN25-100000-C,68478.22,buy,0.3,,,0.3,,
32,322221831,2024-10-25 14:16:32,1,0.0215,0.02155871,58.28,BTC-31JAN25-100000-C,68489.28,buy,0.2,,,0.2,,
33,322225614,2024-10-25 14:35:38,0,0.022,0.02171396,58.63,BTC-31JAN25-100000-C,68512.24,sell,0.1,,,0.1,,
34,322232414,2024-10-25 15:25:09,1,0.022,0.0215178,58.94,BTC-31JAN25-100000-C,68332.34,buy,0.1,,,0.1,,
35,322233350,2024-10-25 15:35:46,2,0.021,0.02148743,58.21,BTC-31JAN25-100000-C,68282.93,sell,0.1,,,0.1,,
36,322238344,2024-10-25 15:52:57,2,0.0205,0.02015141,59.03,BTC-31JAN25-100000-C,67537.07,sell,0.1,,,0.1,,
37,322240493,2024-10-25 15:59:34,3,0.0205,0.02049162,58.77,BTC-31JAN25-100000-C,67696.05,buy,0.1,,,0.1,,
38,322241056,2024-10-25 16:00:56,3,0.0205,0.02011928,59.05,BTC-31JAN25-100000-C,67528.81,buy,0.1,,,0.1,,
39,322242489,2024-10-25 16:06:00,2,0.02,0.02007427,58.66,BTC-31JAN25-100000-C,67490.53,buy,0.1,,,0.1,,
40,322243569,2024-10-25 16:10:05,0,0.0205,0.02012613,59.05,BTC-31JAN25-100000-C,67511.24,buy,0.1,,,0.1,,
41,322243706,2024-10-25 16:10:32,1,0.0205,0.02018792,59.0,BTC-31JAN25-100000-C,67544.25,buy,0.1,,,0.1,,
42,322244094,2024-10-25 16:11:42,1,0.0205,0.02050647,58.73,BTC-31JAN25-100000-C,67705.55,buy,0.1,,,0.1,,
43,322247083,2024-10-25 16:31:06,1,0.0205,0.02015957,59.07,BTC-31JAN25-100000-C,67514.84,buy,0.1,,,0.1,,
44,322255395,2024-10-25 17:31:30,2,0.02,0.02012842,58.79,BTC-31JAN25-100000-C,67433.94,buy,0.1,,,0.1,,
45,322258015,2024-10-25 17:52:30,0,0.0205,0.02015733,59.26,BTC-31JAN25-100000-C,67400.28,sell,0.1,,,0.1,,
46,322296915,2024-10-25 19:23:59,2,0.02,0.0199269,59.93,BTC-31JAN25-100000-C,66729.02,buy,0.1,,,0.1,,
47,322354067,2024-10-26 05:50:25,2,0.0195,0.01993213,59.15,BTC-31JAN25-100000-C,67065.18,sell,1.7,,,1.7,,
48,322354068,2024-10-26 05:50:25,3,0.0195,0.01993213,59.15,BTC-31JAN25-100000-C,67065.18,buy,12.3,,,12.3,,
49,322354069,2024-10-26 05:50:32,3,0.0195,0.01992243,59.15,BTC-31JAN25-100000-C,67062.72,buy,0.1,,,0.1,,
50,322354070,2024-10-26 05:50:32,3,0.0195,0.01992243,59.15,BTC-31JAN25-100000-C,67062.72,buy,0.1,,,0.1,,
51,322354071,2024-10-26 05:50:32,3,0.0195,0.01992243,59.15,BTC-31JAN25-100000-C,67062.72,buy,0.1,,,0.1,,
52,322354072,2024-10-26 05:50:42,3,0.0195,0.01992121,59.14,BTC-31JAN25-100000-C,67069.26,buy,2.0,,,2.0,,
53,322354073,2024-10-26 05:50:42,3,0.0195,0.01992121,59.14,BTC-31JAN25-100000-C,67069.26,buy,0.4,,,0.4,,
54,322354074,2024-10-26 05:50:44,3,0.0195,0.01991773,59.14,BTC-31JAN25-100000-C,67069.26,buy,2.0,,,2.0,,
55,322354075,2024-10-26 05:50:44,3,0.0195,0.01991773,59.14,BTC-31JAN25-100000-C,67069.26,buy,0.4,,,0.4,,
56,322364456,2024-10-26 10:38:25,2,0.0175,0.01822181,57.46,BTC-31JAN25-100000-C,67035.83,sell,2.6,,,2.6,,
57,322364457,2024-10-26 10:38:25,3,0.0175,0.01822181,57.46,BTC-31JAN25-100000-C,67035.83,buy,7.4,,,7.4,,
58,322366032,2024-10-26 11:18:37,2,0.017,0.01751576,57.1,BTC-31JAN25-100000-C,66993.47,buy,5.0,,,5.0,,
59,322366033,2024-10-26 11:18:39,3,0.017,0.01751253,57.1,BTC-31JAN25-100000-C,66992.68,buy,5.0,,,5.0,,
60,322370174,2024-10-26 13:48:26,2,0.016,0.01679529,56.39,BTC-31JAN25-100000-C,66867.34,sell,10.0,,,10.0,,
61,322371130,2024-10-26 14:14:03,3,0.016,0.01626251,56.5,BTC-31JAN25-100000-C,66790.98,sell,12.5,,,12.5,,
62,322371131,2024-10-26 14:14:03,3,0.016,0.01626251,56.5,BTC-31JAN25-100000-C,66790.98,sell,3.0,,,3.0,,
63,322371132,2024-10-26 14:14:03,3,0.016,0.01626251,56.5,BTC-31JAN25-100000-C,66790.98,buy,9.0,,,9.0,,
64,322371133,2024-10-26 14:14:03,3,0.016,0.01626251,56.5,BTC-31JAN25-100000-C,66790.98,buy,0.5,,,0.5,,
65,322371528,2024-10-26 14:19:17,2,0.0155,0.01604392,56.13,BTC-31JAN25-100000-C,66730.94,sell,23.1,,,23.1,,
66,322371529,2024-10-26 14:19:17,3,0.0155,0.01604392,56.13,BTC-31JAN25-100000-C,66730.94,sell,2.8,,,2.8,,
67,322371530,2024-10-26 14:19:17,3,0.0155,0.01604392,56.13,BTC-31JAN25-100000-C,66730.94,sell,12.6,,,12.6,,
68,322371531,2024-10-26 14:19:17,3,0.0155,0.01604392,56.13,BTC-31JAN25-100000-C,66730.94,sell,4.0,,,4.0,,
69,322371532,2024-10-26 14:19:17,3,0.0155,0.01604392,56.13,BTC-31JAN25-100000-C,66730.94,sell,5.8,,,5.8,,
70,322371533,2024-10-26 14:19:17,3,0.0155,0.01604392,56.13,BTC-31JAN25-100000-C,66730.94,buy,1.7,,,1.7,,
71,322371573,2024-10-26 14:20:01,3,0.0155,0.0160489,56.11,BTC-31JAN25-100000-C,66746.13,sell,17.0,,,17.0,,
72,322371574,2024-10-26 14:20:01,3,0.0155,0.0160489,56.11,BTC-31JAN25-100000-C,66746.13,sell,2.8,,,2.8,,
73,322371575,2024-10-26 14:20:01,3,0.0155,0.0160489,56.11,BTC-31JAN25-100000-C,66746.13,sell,5.0,,,5.0,,
74,322371576,2024-10-26 14:20:01,3,0.0155,0.0160489,56.11,BTC-31JAN25-100000-C,66746.13,sell,23.6,,,23.6,,
75,322371577,2024-10-26 14:20:01,3,0.0155,0.0160489,56.11,BTC-31JAN25-100000-C,66746.13,sell,1.6,,,1.6,,
76,322408662,2024-10-27 09:08:57,0,0.017,0.0168022,57.27,BTC-31JAN25-100000-C,67077.16,buy,1.0,,,1.0,,
77,322436166,2024-10-27 21:36:18,0,0.02,0.01897641,58.75,BTC-31JAN25-100000-C,67831.93,buy,12.7,,,12.7,,
78,322436167,2024-10-27 21:36:18,1,0.02,0.01897641,58.75,BTC-31JAN25-100000-C,67831.93,buy,11.0,,,11.0,,
79,322436168,2024-10-27 21:36:18,1,0.02,0.01897641,58.75,BTC-31JAN25-100000-C,67831.93,buy,1.3,,,1.3,,
80,322436186,2024-10-27 21:36:26,2,0.0195,0.0189757,58.33,BTC-31JAN25-100000-C,67822.59,sell,5.0,,,5.0,,
