trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_id,combo_id,combo_trade_id
1,324569306,2024-11-08 00:16:30,1,0.0255,0.02558529,55.37,BTC-31JAN25-102000-C,76176.7,buy,0.1,0.1,,,
2,324569307,2024-11-08 00:16:30,1,0.0255,0.02558529,55.37,BTC-31JAN25-102000-C,76176.7,buy,0.9,0.9,,,
3,324593672,2024-11-08 04:08:53,2,0.024,0.0246307,54.77,BTC-31JAN25-102000-C,75913.63,sell,0.1,0.1,,,
4,324645822,2024-11-08 08:49:41,2,0.0225,0.02299017,53.71,BTC-31JAN25-102000-C,75903.76,buy,0.1,0.1,,,
5,324666877,2024-11-08 11:24:54,3,0.0225,0.02298316,53.18,BTC-31JAN25-102000-C,76243.94,sell,2.1,2.1,,,
6,324666878,2024-11-08 11:24:54,3,0.0225,0.02298316,53.18,BTC-31JAN25-102000-C,76243.94,sell,6.0,6.0,,,
7,324666879,2024-11-08 11:24:54,3,0.0225,0.02298316,53.18,BTC-31JAN25-102000-C,76243.94,sell,3.3,3.3,,,
8,324666880,2024-11-08 11:24:54,3,0.0225,0.02298316,53.18,BTC-31JAN25-102000-C,76243.94,sell,8.7,8.7,,,
9,324666881,2024-11-08 11:24:54,3,0.0225,0.02298316,53.18,BTC-31JAN25-102000-C,76243.94,sell,0.1,0.1,,,
10,324666891,2024-11-08 11:24:54,3,0.0225,0.02298316,53.18,BTC-31JAN25-102000-C,76243.94,buy,0.5,0.5,,,
11,324666893,2024-11-08 11:24:54,3,0.0225,0.02298316,53.18,BTC-31JAN25-102000-C,76243.94,buy,12.0,12.0,,,
12,324666915,2024-11-08 11:25:07,3,0.0225,0.02296689,53.18,BTC-31JAN25-102000-C,76243.92,buy,15.0,15.0,,,
13,324671754,2024-11-08 12:24:40,0,0.023,0.02247191,53.83,BTC-31JAN25-102000-C,76069.6,buy,0.1,0.1,,,
