trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,block_trade_id,combo_id,liquidation,combo_trade_id
1,211607197,2022-05-01 01:26:06,1,0.525,0.52763563,69.43,BTC-31MAR23-20000-C,37576.25,sell,0.1,,,,
2,212949471,2022-05-09 19:19:17,2,0.4435,0.44460967,69.44,BTC-31MAR23-20000-C,30865.24,buy,0.1,,,,
3,217598543,2022-06-11 12:52:10,2,0.405,0.40883001,71.03,BTC-31MAR23-20000-C,28633.42,buy,7.0,,,,
4,217598759,2022-06-11 12:55:18,0,0.406,0.40794388,71.78,BTC-31MAR23-20000-C,28596.84,buy,2.5,,,,
5,217598838,2022-06-11 12:56:41,0,0.4065,0.40820488,71.84,BTC-31MAR23-20000-C,28625.45,buy,0.7,,,,
6,218072185,2022-06-13 09:48:21,2,0.35,0.34055283,79.06,BTC-31MAR23-20000-C,23882.48,sell,0.1,,,,
7,218072933,2022-06-13 09:49:40,2,0.34,0.3390712,76.06,BTC-31MAR23-20000-C,23778.26,sell,0.1,,,,
8,218270260,2022-06-13 19:11:03,2,0.33,0.32941114,75.67,BTC-31MAR23-20000-C,23251.7,sell,1.0,,,,
9,218274872,2022-06-13 19:22:58,2,0.3285,0.32709256,75.73,BTC-31MAR23-20000-C,23173.74,sell,1.0,,,,
10,218307773,2022-06-13 22:55:38,2,0.32,0.32368312,75.79,BTC-31MAR23-20000-C,22655.73,sell,0.1,,,,
11,218891719,2022-06-15 08:25:37,2,0.29,0.28911901,79.66,BTC-31MAR23-20000-C,20424.23,sell,0.1,,,,
12,218891896,2022-06-15 08:26:19,3,0.29,0.28949596,79.57,BTC-31MAR23-20000-C,20445.52,sell,0.1,,,,
13,218894565,2022-06-15 08:33:15,0,0.3,0.29475162,82.55,BTC-31MAR23-20000-C,20483.28,buy,0.1,,,,
14,218895343,2022-06-15 08:35:17,1,0.3,0.30219348,81.99,BTC-31MAR23-20000-C,20545.19,sell,0.1,,,,
15,218903729,2022-06-15 08:59:36,2,0.29,0.29011264,81.4,BTC-31MAR23-20000-C,20185.32,sell,0.1,,,,
16,218910305,2022-06-15 09:15:49,0,0.3,0.29340884,84.84,BTC-31MAR23-20000-C,20162.28,sell,0.1,,,,
17,218932235,2022-06-15 10:17:09,0,0.32,0.31292544,90.42,BTC-31MAR23-20000-C,20248.02,sell,0.1,,,,
18,219087883,2022-06-15 18:31:15,2,0.2845,0.28584069,77.03,BTC-31MAR23-20000-C,20633.73,sell,6.0,,,,
19,219124093,2022-06-15 19:15:52,0,0.295,0.29638372,75.34,BTC-31MAR23-20000-C,21566.99,buy,1.0,,,,
20,219213953,2022-06-16 07:15:37,2,0.2845,0.28254329,70.34,BTC-31MAR23-20000-C,21878.68,buy,0.5,,,,
21,219268573,2022-06-16 13:34:34,2,0.28,0.28230804,73.81,BTC-31MAR23-20000-C,21012.76,sell,3.0,,,,
22,219514395,2022-06-17 12:44:11,3,0.28,0.28314428,75.33,BTC-31MAR23-20000-C,20793.85,sell,1.0,,,,
23,219744237,2022-06-18 14:54:06,2,0.257,0.25527839,78.36,BTC-31MAR23-20000-C,19071.36,sell,1.0,,,,
24,219744573,2022-06-18 14:56:32,3,0.257,0.25081099,78.36,BTC-31MAR23-20000-C,19062.94,sell,3.0,,,,
25,219744694,2022-06-18 14:58:26,3,0.257,0.25751611,78.33,BTC-31MAR23-20000-C,19060.26,sell,3.0,,,,
26,219745907,2022-06-18 15:08:21,3,0.257,0.25314854,78.59,BTC-31MAR23-20000-C,19020.17,sell,3.0,,,,
27,219745960,2022-06-18 15:09:08,3,0.257,0.25232865,78.52,BTC-31MAR23-20000-C,19032.81,sell,3.0,,,,
28,219747521,2022-06-18 15:19:55,0,0.258,0.2606754,78.9,BTC-31MAR23-20000-C,19041.4,sell,3.0,,,,
29,219747638,2022-06-18 15:22:35,1,0.258,0.26018145,79.01,BTC-31MAR23-20000-C,19019.57,sell,3.0,,,,
30,219747851,2022-06-18 15:25:45,0,0.26,0.2614791,79.27,BTC-31MAR23-20000-C,19081.39,sell,3.0,,,,
31,219747992,2022-06-18 15:27:30,0,0.261,0.26323509,79.5,BTC-31MAR23-20000-C,19079.32,sell,3.0,,,,
32,219748346,2022-06-18 15:36:02,2,0.26,0.26096414,79.4,BTC-31MAR23-20000-C,19041.38,sell,3.0,,,,
33,219748854,2022-06-18 15:46:40,0,0.262,0.25697925,80.09,BTC-31MAR23-20000-C,19016.02,sell,0.1,,,,
34,219749309,2022-06-18 15:52:16,2,0.259,0.25297076,79.52,BTC-31MAR23-20000-C,18956.64,buy,47.0,42454,,,
35,219832853,2022-06-18 21:09:04,2,0.24,0.24339073,79.76,BTC-31MAR23-20000-C,17901.88,sell,1.0,,,,
36,219832854,2022-06-18 21:09:04,0,0.25,0.24339073,82.66,BTC-31MAR23-20000-C,17901.88,sell,1.0,,,,
37,219834685,2022-06-18 21:14:20,2,0.2285,0.23792558,76.26,BTC-31MAR23-20000-C,17927.41,sell,9.0,,,,
38,219834686,2022-06-18 21:14:20,3,0.2285,0.23792558,76.26,BTC-31MAR23-20000-C,17927.41,sell,9.0,,,,
39,220267927,2022-06-20 13:17:39,0,0.27,0.27369632,74.36,BTC-31MAR23-20000-C,20471.87,buy,5.0,,,,
40,221034198,2022-06-26 19:13:08,0,0.287,0.28282557,76.07,BTC-31MAR23-20000-C,21237.16,sell,0.2,,,,
