trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,combo_id,block_trade_id,liquidation,combo_trade_id
2977,241919683,2023-02-16 18:38:32,1,0.022,0.0219591,58.07,BTC-31MAR23-30000-C,24977.27,buy,0.1,,,,
2978,241920565,2023-02-16 18:43:12,2,0.0215,0.02186682,57.51,BTC-31MAR23-30000-C,24985.21,sell,1.0,,,,
2979,241928542,2023-02-16 19:44:33,2,0.0205,0.02061026,57.47,BTC-31MAR23-30000-C,24871.7,buy,1.5,,,,
2980,241929134,2023-02-16 19:51:43,3,0.0205,0.02080732,57.36,BTC-31MAR23-30000-C,24890.7,sell,4.0,,,,
2981,241929135,2023-02-16 19:51:43,3,0.0205,0.02080732,57.36,BTC-31MAR23-30000-C,24890.7,buy,1.2,,,,
2982,241929136,2023-02-16 19:51:43,3,0.0205,0.02080732,57.36,BTC-31MAR23-30000-C,24890.7,buy,1.0,,,,
2983,241929137,2023-02-16 19:51:43,3,0.0205,0.02080732,57.36,BTC-31MAR23-30000-C,24890.7,buy,1.6,,,,
2984,241929496,2023-02-16 19:54:02,3,0.0205,0.02071765,57.43,BTC-31MAR23-30000-C,24884.18,sell,1.3,,,,
2985,241929497,2023-02-16 19:54:02,3,0.0205,0.02071765,57.43,BTC-31MAR23-30000-C,24884.18,sell,0.9,,,,
2986,241931424,2023-02-16 20:07:13,2,0.02,0.02013089,57.51,BTC-31MAR23-30000-C,24806.51,sell,0.6,,,,
2987,241932193,2023-02-16 20:16:08,3,0.02,0.01992837,57.85,BTC-31MAR23-30000-C,24753.97,sell,0.1,,,,
2988,241932197,2023-02-16 20:16:08,3,0.02,0.01992837,57.85,BTC-31MAR23-30000-C,24753.97,sell,0.1,,,,
2989,241932232,2023-02-16 20:16:09,3,0.02,0.01990481,57.92,BTC-31MAR23-30000-C,24745.61,sell,4.8,,,,
2990,241932257,2023-02-16 20:16:09,3,0.02,0.01990481,57.92,BTC-31MAR23-30000-C,24745.61,sell,13.0,,,,
2991,241937123,2023-02-16 20:31:08,2,0.0185,0.01866539,58.28,BTC-31MAR23-30000-C,24501.0,sell,1.0,,,,
2992,241942627,2023-02-16 21:15:43,3,0.0185,0.01901545,57.89,BTC-31MAR23-30000-C,24549.6,sell,10.0,,,,
2993,241943049,2023-02-16 21:22:54,2,0.018,0.01835163,57.93,BTC-31MAR23-30000-C,24471.65,sell,0.4,,,,
2994,241944501,2023-02-16 21:31:38,2,0.0175,0.01770056,57.8,BTC-31MAR23-30000-C,24420.97,sell,3.0,,,,
2995,241947802,2023-02-16 22:00:14,0,0.018,0.01806509,57.5,BTC-31MAR23-30000-C,24534.4,sell,1.0,,,,
2996,241948298,2023-02-16 22:04:34,1,0.018,0.01809996,57.42,BTC-31MAR23-30000-C,24544.27,sell,3.2,,,,
2997,241959554,2023-02-16 22:55:48,2,0.0155,0.0157973,58.03,BTC-31MAR23-30000-C,24100.62,sell,1.0,,,,
2998,241989074,2023-02-17 01:11:37,2,0.0143,0.01409276,59.01,BTC-31MAR23-30000-C,23751.77,buy,25.0,,65230,,
2999,241995438,2023-02-17 02:40:38,0,0.0145,0.01401872,58.74,BTC-31MAR23-30000-C,23841.31,buy,25.0,,65234,,
3000,242013220,2023-02-17 07:37:19,2,0.013,0.01318177,57.67,BTC-31MAR23-30000-C,23745.58,sell,1.8,,,,
3001,242026408,2023-02-17 08:42:15,2,0.012,0.01221174,57.06,BTC-31MAR23-30000-C,23645.51,buy,7.8,,,,
3002,242026677,2023-02-17 08:45:09,3,0.012,0.01224347,56.91,BTC-31MAR23-30000-C,23661.39,buy,7.8,,,,
3003,242032564,2023-02-17 10:09:17,0,0.0125,0.01227831,57.41,BTC-31MAR23-30000-C,23700.01,buy,0.1,,,,
3004,242032565,2023-02-17 10:09:18,1,0.0125,0.01227831,57.41,BTC-31MAR23-30000-C,23700.01,buy,0.1,,,,
3005,242036092,2023-02-17 11:56:20,1,0.0125,0.01254486,56.84,BTC-31MAR23-30000-C,23783.6,buy,7.7,,,,
3006,242038920,2023-02-17 13:08:41,1,0.0125,0.01270002,56.31,BTC-31MAR23-30000-C,23865.38,sell,0.1,,,,
3007,242041769,2023-02-17 13:52:42,2,0.012,0.01230237,56.38,BTC-31MAR23-30000-C,23762.38,buy,0.1,BTC-CS-31MAR23-26000_30000,,,242041767
3008,242044081,2023-02-17 14:28:15,0,0.013,0.01278326,56.72,BTC-31MAR23-30000-C,23908.8,buy,3.9,,,,
3009,242044082,2023-02-17 14:28:15,1,0.013,0.01278326,56.72,BTC-31MAR23-30000-C,23908.8,buy,1.1,,,,
3010,242045778,2023-02-17 14:35:05,0,0.0135,0.01378844,55.87,BTC-31MAR23-30000-C,24111.48,buy,1.0,,,,
3011,242049171,2023-02-17 14:41:42,1,0.0135,0.01371166,55.62,BTC-31MAR23-30000-C,24142.37,sell,2.9,,,,
3012,242049172,2023-02-17 14:41:42,1,0.0135,0.01371166,55.62,BTC-31MAR23-30000-C,24142.37,sell,2.1,,,,
3013,242049178,2023-02-17 14:41:45,1,0.0135,0.01378165,55.57,BTC-31MAR23-30000-C,24148.81,sell,4.0,,,,
3014,242049179,2023-02-17 14:41:45,1,0.0135,0.01378165,55.57,BTC-31MAR23-30000-C,24148.81,sell,1.0,,,,
3015,242049352,2023-02-17 14:42:34,0,0.014,0.01388179,56.06,BTC-31MAR23-30000-C,24174.59,buy,1.0,,,,
3016,242063687,2023-02-17 15:22:38,0,0.016,0.01576337,58.92,BTC-31MAR23-30000-C,24103.07,buy,0.1,,,,
3017,242065395,2023-02-17 15:33:02,0,0.017,0.01682743,59.99,BTC-31MAR23-30000-C,24112.52,buy,2.3,,,,
3018,242065396,2023-02-17 15:33:02,1,0.017,0.01682743,59.99,BTC-31MAR23-30000-C,24112.52,buy,4.0,,,,
3019,242065397,2023-02-17 15:33:02,1,0.017,0.01682743,59.99,BTC-31MAR23-30000-C,24112.52,buy,0.5,,,,
3020,242065398,2023-02-17 15:33:03,1,0.017,0.01682743,59.99,BTC-31MAR23-30000-C,24112.52,buy,1.5,,,,
3021,242065399,2023-02-17 15:33:03,1,0.017,0.01681881,59.96,BTC-31MAR23-30000-C,24116.57,buy,21.0,,,,
