tic,datadate,gvkeyx,conm,prccd,prccddiv
I6UNK059,2004-01-01,150376,STOXX 600 Price Index,229.31000000,
I6UNK059,2004-01-02,150376,STOXX 600 Price Index,231.75000000,
I6UNK059,2004-01-05,150376,STOXX 600 Price Index,232.92000000,
I6UNK059,2004-01-06,150376,STOXX 600 Price Index,232.83000000,
I6UNK059,2004-01-07,150376,STOXX 600 Price Index,231.71000000,
I6UNK059,2004-01-08,150376,STOXX 600 Price Index,234.01000000,
I6UNK059,2004-01-09,150376,STOXX 600 Price Index,232.83000000,
I6UNK059,2004-01-12,150376,STOXX 600 Price Index,232.56000000,
I6UNK059,2004-01-13,150376,STOXX 600 Price Index,232.99000000,
I6UNK059,2004-01-14,150376,STOXX 600 Price Index,235.12000000,
I6UNK059,2004-01-15,150376,STOXX 600 Price Index,235.23000000,
I6UNK059,2004-01-16,150376,STOXX 600 Price Index,237.78000000,
I6UNK059,2004-01-19,150376,STOXX 600 Price Index,238.36000000,
I6UNK059,2004-01-20,150376,STOXX 600 Price Index,237.15000000,
I6UNK059,2004-01-21,150376,STOXX 600 Price Index,238.26000000,
I6UNK059,2004-01-22,150376,STOXX 600 Price Index,238.32000000,
I6UNK059,2004-01-23,150376,STOXX 600 Price Index,237.89000000,
I6UNK059,2004-01-26,150376,STOXX 600 Price Index,237.22000000,
I6UNK059,2004-01-27,150376,STOXX 600 Price Index,237.58000000,
I6UNK059,2004-01-28,150376,STOXX 600 Price Index,238.75000000,
I6UNK059,2004-01-29,150376,STOXX 600 Price Index,236.95000000,
I6UNK059,2004-01-30,150376,STOXX 600 Price Index,235.81000000,
I6UNK059,2004-02-02,150376,STOXX 600 Price Index,236.17000000,
I6UNK059,2004-02-03,150376,STOXX 600 Price Index,235.60000000,
I6UNK059,2004-02-04,150376,STOXX 600 Price Index,234.92000000,
I6UNK059,2004-02-05,150376,STOXX 600 Price Index,234.58000000,
I6UNK059,2004-02-06,150376,STOXX 600 Price Index,235.86000000,
I6UNK059,2004-02-09,150376,STOXX 600 Price Index,238.85000000,
I6UNK059,2004-02-10,150376,STOXX 600 Price Index,238.98000000,
I6UNK059,2004-02-11,150376,STOXX 600 Price Index,239.50000000,
I6UNK059,2004-02-12,150376,STOXX 600 Price Index,239.26000000,
I6UNK059,2004-02-13,150376,STOXX 600 Price Index,238.79000000,
I6UNK059,2004-02-16,150376,STOXX 600 Price Index,239.50000000,
I6UNK059,2004-02-17,150376,STOXX 600 Price Index,241.64000000,
I6UNK059,2004-02-18,150376,STOXX 600 Price Index,241.55000000,
I6UNK059,2004-02-19,150376,STOXX 600 Price Index,244.68000000,
I6UNK059,2004-02-20,150376,STOXX 600 Price Index,243.23000000,
I6UNK059,2004-02-23,150376,STOXX 600 Price Index,243.66000000,
I6UNK059,2004-02-24,150376,STOXX 600 Price Index,241.26000000,
I6UNK059,2004-02-25,150376,STOXX 600 Price Index,242.45000000,
I6UNK059,2004-02-26,150376,STOXX 600 Price Index,242.75000000,
I6UNK059,2004-02-27,150376,STOXX 600 Price Index,242.59000000,
I6UNK059,2004-03-01,150376,STOXX 600 Price Index,245.13000000,
I6UNK059,2004-03-02,150376,STOXX 600 Price Index,246.60000000,
