"","date","PX_LAST"
"1",2003-07-01,126.5272
"2",2003-07-02,126.1673
"3",2003-07-03,125.931
"4",2003-07-04,126.1926
"5",2003-07-07,125.9852
"6",2003-07-08,125.9718
"7",2003-07-09,126.0251
"8",2003-07-10,126.2419
"9",2003-07-11,126.2972
"10",2003-07-14,126.4655
"11",2003-07-15,125.8634
"12",2003-07-16,125.5668
"13",2003-07-17,125.2455
"14",2003-07-18,125.5263
"15",2003-07-21,125.3065
"16",2003-07-22,125.2538
"17",2003-07-23,125.5588
"18",2003-07-24,125.266
"19",2003-07-25,125.7284
"20",2003-07-28,125.155
"21",2003-07-29,125.2776
"22",2003-07-30,125.048
"23",2003-07-31,124.5677
"24",2003-08-01,124.1078
"25",2003-08-04,124.3815
"26",2003-08-05,124.3603
"27",2003-08-06,124.5113
"28",2003-08-07,124.8383
"29",2003-08-08,125.4216
"30",2003-08-11,125.0371
"31",2003-08-12,125.0749
"32",2003-08-13,124.5832
"33",2003-08-14,124.2384
"34",2003-08-15,124.5911
"35",2003-08-18,124.5897
"36",2003-08-19,124.5712
"37",2003-08-20,124.5792
"38",2003-08-21,124.45
"39",2003-08-22,124.49
"40",2003-08-25,124.6354
"41",2003-08-26,124.5817
"42",2003-08-27,124.5156
"43",2003-08-28,124.6225
"44",2003-08-29,124.5859
"45",2003-09-01,124.5854
"46",2003-09-02,123.897
"47",2003-09-03,123.6978
"48",2003-09-04,123.8662
"49",2003-09-05,124.2567
"50",2003-09-08,124.6199
"51",2003-09-09,124.4655
"52",2003-09-10,124.7547
"53",2003-09-11,124.5827
"54",2003-09-12,125.2821
"55",2003-09-15,125.2226
"56",2003-09-16,125.1406
"57",2003-09-17,125.273
"58",2003-09-18,125.2782
"59",2003-09-19,125.4372
"60",2003-09-22,125.7371
"61",2003-09-23,125.8775
"62",2003-09-24,125.7781
"63",2003-09-25,126.0225
"64",2003-09-26,126.2602
"65",2003-09-29,126.3225
"66",2003-09-30,126.6331
"67",2003-10-01,126.6413
"68",2003-10-02,125.9361
"69",2003-10-03,125.2193
"70",2003-10-06,125.5204
"71",2003-10-07,125.4045
"72",2003-10-08,125.4724
"73",2003-10-09,125.2342
"74",2003-10-10,125.467
"75",2003-10-13,125.048
"76",2003-10-14,125.0388
"77",2003-10-15,124.724
"78",2003-10-16,124.9558
"79",2003-10-17,124.7618
"80",2003-10-20,124.8171
"81",2003-10-21,125.1077
"82",2003-10-22,125.141
"83",2003-10-23,125.0491
"84",2003-10-24,125.0787
"85",2003-10-27,124.9574
"86",2003-10-28,124.9177
"87",2003-10-29,124.9659
"88",2003-10-30,124.7057
"89",2003-10-31,124.9918
"90",2003-11-03,124.5742
"91",2003-11-04,124.8111
"92",2003-11-05,124.7965
"93",2003-11-06,124.3719
"94",2003-11-07,124.1377
"95",2003-11-10,124.2887
"96",2003-11-11,124.3408
"97",2003-11-12,124.3688
"98",2003-11-13,124.7178
"99",2003-11-14,125.0758
"100",2003-11-17,125.3433
"101",2003-11-18,125.4355
"102",2003-11-19,125.2205
"103",2003-11-20,125.2638
"104",2003-11-21,125.4385
"105",2003-11-24,125.0117
"106",2003-11-25,124.9187
"107",2003-11-26,124.9957
"108",2003-11-27,124.7076
"109",2003-11-28,124.6664
"110",2003-12-01,124.4246
"111",2003-12-02,124.6315
"112",2003-12-03,124.8113
"113",2003-12-04,124.7803
"114",2003-12-05,125.3817
"115",2003-12-08,125.4244
"116",2003-12-09,125.3291
"117",2003-12-10,125.4849
"118",2003-12-11,125.3518
"119",2003-12-12,125.8237
"120",2003-12-15,125.8299
"121",2003-12-16,125.9083
"122",2003-12-17,126.1506
"123",2003-12-18,126.204
"124",2003-12-19,125.99
"125",2003-12-22,126.1931
"126",2003-12-23,126.3168
"127",2003-12-24,126.3327
"128",2003-12-29,126.3485
"129",2003-12-30,126.2112
"130",2003-12-31,126.2313
"131",2004-01-02,126.1082
"132",2004-01-05,126.181
"133",2004-01-06,126.5639
"134",2004-01-07,126.7581
"135",2004-01-08,126.8282
"136",2004-01-09,127.3861
"137",2004-01-12,127.5114
"138",2004-01-13,127.3743
"139",2004-01-14,127.2222
"140",2004-01-15,127.3289
"141",2004-01-16,127.2724
"142",2004-01-19,127.2803
"143",2004-01-20,127.5158
"144",2004-01-21,127.3783
"145",2004-01-22,127.5063
"146",2004-01-23,127.8535
"147",2004-01-26,127.4005
"148",2004-01-27,127.5803
"149",2004-01-28,127.5806
"150",2004-01-29,126.8752
"151",2004-01-30,127.0066
"152",2004-02-02,127.158
"153",2004-02-03,127.2983
"154",2004-02-04,127.4038
"155",2004-02-05,127.5281
"156",2004-02-06,127.7374
"157",2004-02-09,127.8167
"158",2004-02-10,127.8087
"159",2004-02-11,127.8747
"160",2004-02-12,128.0124
"161",2004-02-13,128.0957
"162",2004-02-16,128.1328
"163",2004-02-17,128.295
"164",2004-02-18,128.3723
"165",2004-02-19,128.0865
"166",2004-02-20,128.0559
"167",2004-02-23,128.1006
"168",2004-02-24,128.4399
"169",2004-02-25,128.5417
"170",2004-02-26,128.5205
"171",2004-02-27,128.7464
"172",2004-03-01,128.6704
"173",2004-03-02,128.5598
"174",2004-03-03,128.2246
"175",2004-03-04,128.4468
"176",2004-03-05,129.1546
"177",2004-03-08,129.5735
"178",2004-03-09,129.6442
"179",2004-03-10,129.457
"180",2004-03-11,129.6357
"181",2004-03-12,129.6458
"182",2004-03-15,129.7937
"183",2004-03-16,129.5281
"184",2004-03-17,129.8215
"185",2004-03-18,129.8614
"186",2004-03-19,129.9015
"187",2004-03-22,130.0313
"188",2004-03-23,129.9508
"189",2004-03-24,130.176
"190",2004-03-25,130.2891
"191",2004-03-26,130.2079
"192",2004-03-29,129.7598
"193",2004-03-30,129.8184
"194",2004-03-31,129.9282
"195",2004-04-01,129.6479
"196",2004-04-02,128.8492
"197",2004-04-05,128.8102
"198",2004-04-06,128.9868
"199",2004-04-07,129.1921
"200",2004-04-08,129.1551
"201",2004-04-13,128.7339
"202",2004-04-14,128.5727
"203",2004-04-15,128.6425
"204",2004-04-16,128.9515
"205",2004-04-19,128.9991
"206",2004-04-20,128.7664
"207",2004-04-21,128.7004
"208",2004-04-22,128.7504
"209",2004-04-23,128.6552
"210",2004-04-26,128.6169
"211",2004-04-27,128.5958
"212",2004-04-28,128.5715
"213",2004-04-29,128.6434
"214",2004-04-30,128.7082
"215",2004-05-03,128.8493
"216",2004-05-04,128.8125
"217",2004-05-05,128.8727
"218",2004-05-06,128.5693
"219",2004-05-07,128.0093
"220",2004-05-10,128.0094
"221",2004-05-11,128.0718
"222",2004-05-12,127.9075
"223",2004-05-13,127.766
"224",2004-05-14,127.9625
"225",2004-05-17,128.3109
"226",2004-05-18,128.186
"227",2004-05-19,127.9555
"228",2004-05-20,128.0479
"229",2004-05-21,128.1733
"230",2004-05-24,128.0244
"231",2004-05-25,128.1664
"232",2004-05-26,128.3622
"233",2004-05-27,128.6546
"234",2004-05-28,128.4108
"235",2004-05-31,128.4551
"236",2004-06-01,128.1824
"237",2004-06-02,128.1059
"238",2004-06-03,128.1299
"239",2004-06-04,128.0361
"240",2004-06-07,128.1108
"241",2004-06-08,128.267
"242",2004-06-09,128.0842
"243",2004-06-10,127.9983
"244",2004-06-11,127.7921
"245",2004-06-14,127.803
"246",2004-06-15,128.2186
"247",2004-06-16,128.1066
"248",2004-06-17,128.0178
"249",2004-06-18,128.3424
"250",2004-06-21,128.3916
"251",2004-06-22,128.2901
"252",2004-06-23,128.3162
"253",2004-06-24,128.7797
"254",2004-06-25,128.6442
"255",2004-06-28,128.409
"256",2004-06-29,128.3766
"257",2004-06-30,128.7168
"258",2004-07-01,128.7411
"259",2004-07-02,129.1766
"260",2004-07-05,129.1957
"261",2004-07-06,129.2101
"262",2004-07-07,129.3521
"263",2004-07-08,129.3913
"264",2004-07-09,129.3858
"265",2004-07-12,129.5298
"266",2004-07-13,129.2568
"267",2004-07-14,129.3154
"268",2004-07-15,129.3452
"269",2004-07-16,129.7633
"270",2004-07-19,129.7733
"271",2004-07-20,129.7075
"272",2004-07-21,129.2357
"273",2004-07-22,129.505
"274",2004-07-23,129.4648
"275",2004-07-26,129.3749
"276",2004-07-27,129.2824
"277",2004-07-28,129.2185
"278",2004-07-29,129.4049
"279",2004-07-30,129.7581
"280",2004-08-02,129.9338
"281",2004-08-03,129.9899
"282",2004-08-04,130.083
"283",2004-08-05,130.2989
"284",2004-08-06,130.814
"285",2004-08-09,130.8203
"286",2004-08-10,130.922
"287",2004-08-11,130.6902
"288",2004-08-12,130.8394
"289",2004-08-13,130.9903
"290",2004-08-16,130.8275
"291",2004-08-17,130.9546
"292",2004-08-18,130.8898
"293",2004-08-19,130.9533
"294",2004-08-20,131.0706
"295",2004-08-23,130.7434
"296",2004-08-24,130.779
"297",2004-08-25,131.0104
"298",2004-08-26,131.0759
"299",2004-08-27,131.0932
"300",2004-08-30,131.188
"301",2004-08-31,131.4326
"302",2004-09-01,131.3462
"303",2004-09-02,131.1865
"304",2004-09-03,130.6191
"305",2004-09-06,130.7289
"306",2004-09-07,130.6575
"307",2004-09-08,130.6854
"308",2004-09-09,131.0206
"309",2004-09-10,131.2858
"310",2004-09-13,131.1609
"311",2004-09-14,131.2772
"312",2004-09-15,131.2321
"313",2004-09-16,131.2683
"314",2004-09-17,131.459
"315",2004-09-20,131.5835
"316",2004-09-21,131.5842
"317",2004-09-22,131.751
"318",2004-09-23,131.9966
"319",2004-09-24,131.8323
"320",2004-09-27,132.0761
"321",2004-09-28,132.0717
"322",2004-09-29,131.7847
"323",2004-09-30,131.887
"324",2004-10-01,131.7666
"325",2004-10-04,131.6729
"326",2004-10-05,131.911
"327",2004-10-06,131.949
"328",2004-10-07,131.8552
"329",2004-10-08,132.3303
"330",2004-10-11,132.3246
"331",2004-10-12,132.5768
"332",2004-10-13,132.5724
"333",2004-10-14,132.739
"334",2004-10-15,132.7598
"335",2004-10-18,132.8783
"336",2004-10-19,132.7576
"337",2004-10-20,133.0593
"338",2004-10-21,133.0057
"339",2004-10-22,133.0454
"340",2004-10-25,133.2691
"341",2004-10-26,133.2988
"342",2004-10-27,133.2315
"343",2004-10-28,132.9385
"344",2004-10-29,133.0242
"345",2004-11-01,133.1463
"346",2004-11-02,132.8832
"347",2004-11-03,132.9732
"348",2004-11-04,133.3229
"349",2004-11-05,132.9862
"350",2004-11-08,133.0392
"351",2004-11-09,133.2421
"352",2004-11-10,133.2766
"353",2004-11-11,133.6135
"354",2004-11-12,133.8385
"355",2004-11-15,133.871
"356",2004-11-16,133.9564
"357",2004-11-17,133.8315
"358",2004-11-18,133.6323
"359",2004-11-19,133.7499
"360",2004-11-22,133.9905
"361",2004-11-23,134.0945
"362",2004-11-24,134.1532
"363",2004-11-25,134.3616
"364",2004-11-26,134.3736
"365",2004-11-29,134.2036
"366",2004-11-30,134.3136
"367",2004-12-01,134.3542
"368",2004-12-02,134.0445
"369",2004-12-03,134.5084
"370",2004-12-06,134.8541
"371",2004-12-07,135.0174
"372",2004-12-08,135.1259
"373",2004-12-09,135.3021
"374",2004-12-10,135.3248
"375",2004-12-13,135.4308
"376",2004-12-14,135.438
"377",2004-12-15,135.7292
"378",2004-12-16,135.4981
"379",2004-12-17,135.2161
"380",2004-12-20,135.4114
"381",2004-12-21,135.1366
"382",2004-12-22,135.0671
"383",2004-12-23,135.3396
"384",2004-12-27,135.3179
"385",2004-12-28,134.8389
"386",2004-12-29,134.759
"387",2004-12-30,134.9192
"388",2005-01-03,135.1642
"389",2005-01-04,135.0828
"390",2005-01-05,135.1095
"391",2005-01-06,135.3687
"392",2005-01-07,135.4845
"393",2005-01-10,135.6228
"394",2005-01-11,135.5896
"395",2005-01-12,135.606
"396",2005-01-13,135.855
"397",2005-01-14,135.8532
"398",2005-01-17,135.9658
"399",2005-01-18,136.0054
"400",2005-01-19,136.0783
"401",2005-01-20,135.7682
"402",2005-01-21,135.8622
"403",2005-01-24,136.0614
"404",2005-01-25,136.0646
"405",2005-01-26,135.9332
"406",2005-01-27,135.7727
"407",2005-01-28,136.0454
"408",2005-01-31,136.1478
"409",2005-02-01,136.1431
"410",2005-02-02,136.069
"411",2005-02-03,135.9693
"412",2005-02-04,136.3385
"413",2005-02-07,136.4029
"414",2005-02-08,136.4204
"415",2005-02-09,136.6277
"416",2005-02-10,136.7256
"417",2005-02-11,136.6211
"418",2005-02-14,136.5078
"419",2005-02-15,136.3896
"420",2005-02-16,136.2261
"421",2005-02-17,136.1111
"422",2005-02-18,135.568
"423",2005-02-21,135.4273
"424",2005-02-22,135.4956
"425",2005-02-23,135.5904
"426",2005-02-24,135.3658
"427",2005-02-25,135.4541
"428",2005-02-28,135.5906
"429",2005-03-01,135.4346
"430",2005-03-02,135.2002
"431",2005-03-03,135.3676
"432",2005-03-04,135.7899
"433",2005-03-07,135.9657
"434",2005-03-08,135.7992
"435",2005-03-09,135.5177
"436",2005-03-10,135.4084
"437",2005-03-11,135.5427
"438",2005-03-14,135.5023
"439",2005-03-15,135.847
