PERMNO,date,TICKER,PERMCO,PRC,VOL,RET,vwretd,sprtrn
84398,02/01/2004,SPY,46699,111.23000,38075600,-0.000449,-0.000784,-0.003094
84398,05/01/2004,SPY,46699,112.44000,27967400,0.010878,0.012269,0.012395
84398,06/01/2004,SPY,46699,112.55000,20501200,0.000978,0.001951,0.001292
84398,07/01/2004,SPY,46699,112.93000,30180000,0.003376,0.002716,0.002367
84398,08/01/2004,SPY,46699,113.38000,37044600,0.003985,0.004865,0.004963
84398,09/01/2004,SPY,46699,112.39000,54092300,-0.008732,-0.006234,-0.008888
84398,12/01/2004,SPY,46699,113.22000,33566500,0.007385,0.005251,0.004787
84398,13/01/2004,SPY,46699,112.56000,54286400,-0.005829,-0.004591,-0.005332
84398,14/01/2004,SPY,46699,113.50000,30141400,0.008351,0.007248,0.008295
84398,15/01/2004,SPY,46699,113.78000,38432600,0.002467,0.001138,0.001353
84398,16/01/2004,SPY,46699,114.23000,31925800,0.003955,0.006970,0.006872
84398,20/01/2004,SPY,46699,114.20000,29879500,-0.000263,0.002584,-0.000930
84398,21/01/2004,SPY,46699,115.10000,30743000,0.007881,0.005595,0.007772
84398,22/01/2004,SPY,46699,114.80000,29914000,-0.002606,-0.002894,-0.003207
84398,23/01/2004,SPY,46699,114.43000,49968600,-0.003223,-0.001380,-0.002089
84398,26/01/2004,SPY,46699,115.87000,30474100,0.012584,0.010493,0.012106
84398,27/01/2004,SPY,46699,114.68000,35353000,-0.010270,-0.008574,-0.009798
84398,28/01/2004,SPY,46699,113.37000,52884100,-0.011423,-0.014189,-0.013610
84398,29/01/2004,SPY,46699,113.48000,60119900,0.000970,0.001361,0.004989
84398,30/01/2004,SPY,46699,113.48000,30992800,0.000000,-0.000614,-0.002628
84398,02/02/2004,SPY,46699,113.97000,38850200,0.004318,0.002927,0.003651
84398,03/02/2004,SPY,46699,113.78000,25155900,-0.001667,0.000126,0.000678
84398,04/02/2004,SPY,46699,112.85000,39597600,-0.008174,-0.009916,-0.008371
84398,05/02/2004,SPY,46699,113.18000,35990700,0.002924,0.002283,0.001838
84398,06/02/2004,SPY,46699,114.45000,37237300,0.011221,0.014344,0.012555
84398,09/02/2004,SPY,46699,114.48000,24859900,0.000262,-0.000402,-0.002581
84398,10/02/2004,SPY,46699,114.85000,27933300,0.003232,0.005805,0.005027
84398,11/02/2004,SPY,46699,116.07000,42976900,0.010623,0.010254,0.010667
84398,12/02/2004,SPY,46699,115.65000,27828500,-0.003618,-0.004532,-0.004880
84398,13/02/2004,SPY,46699,115.13000,44741900,-0.004496,-0.005320,-0.005468
84398,17/02/2004,SPY,46699,116.17000,23988000,0.009033,0.009798,0.009757
84398,18/02/2004,SPY,46699,115.66000,28660400,-0.004390,-0.004464,-0.004468
84398,19/02/2004,SPY,46699,115.23000,51183100,-0.003718,-0.005332,-0.004133
84398,20/02/2004,SPY,46699,114.88000,46728800,-0.003037,-0.003538,-0.002572
84398,23/02/2004,SPY,46699,114.59000,36361600,-0.002524,-0.005033,-0.002727
84398,24/02/2004,SPY,46699,114.39000,43958900,-0.001745,-0.000969,-0.001665
84398,25/02/2004,SPY,46699,114.87000,31234300,0.004196,0.005125,0.004021
84398,26/02/2004,SPY,46699,114.94000,29685600,0.000609,0.002933,0.001084
84398,27/02/2004,SPY,46699,115.02000,39275000,0.000696,0.001570,0.000026
84398,01/03/2004,SPY,46699,116.16000,33192800,0.009911,0.010243,0.009625
84398,02/03/2004,SPY,46699,115.48000,38607400,-0.005854,-0.005624,-0.005934
84398,03/03/2004,SPY,46699,115.69000,31355400,0.001818,0.001209,0.001688
84398,04/03/2004,SPY,46699,115.99000,21073300,0.002593,0.004571,0.003336
84398,05/03/2004,SPY,46699,116.38000,55923000,0.003362,0.002974,0.001723
84398,08/03/2004,SPY,46699,114.96000,39289600,-0.012201,-0.008043,-0.008350
84398,09/03/2004,SPY,46699,114.50000,39749500,-0.004001,-0.006631,-0.005779
84398,10/03/2004,SPY,46699,112.58000,67802800,-0.016769,-0.015184,-0.014633
84398,11/03/2004,SPY,46699,111.12000,89377600,-0.012969,-0.013977,-0.015224
84398,12/03/2004,SPY,46699,112.58000,54026600,0.013139,0.012795,0.012460
84398,15/03/2004,SPY,46699,111.20000,57687300,-0.012258,-0.015556,-0.014350
